gate_id,gate_label,required,gate_status,evidence,interpretation_boundary
G01_AXIS_AUDIT_PASS,Axis evidence audit conclusion passes,True,PASS,audit_conclusion=PASS_CH6_5_5_PACING_MOVEMENT_STABILITY_AXIS_V1_DESCRIPTIVE_ONLY,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G02_ROUTE_WINDOW_SOURCE,Primary source is route-distance-window normalized evidence,True,PASS,primary_input_path=D:\mountain_work\115_osm\outputs\script_inputs\ch6_5_5_radar_v1_axis_refinement_input_pack_v1\primary_window_evidence\route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G03_REQUIRED_ROWS_PRESENT,"Window, activity, component, and axis rows are present",True,PASS,window_rows=2054; activity_rows=25; component_rows=125; axis_rows=25,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G04_ACTIVITY_COVERAGE,All expected activity rows are represented,True,PASS,axis_activity_rows=25; expected=25,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G05_COMPONENT_COVERAGE,All activities have sufficient component evidence,True,PASS,supported_axis_rows=25; min_component_available_count_observed=5,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G06_HIGHER_IS_BETTER,Axis and components are higher-is-better indices,True,PASS,axis_direction_all_higher=True; component_indices_valid=True,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G07_NO_ZERO_FILL,Missing component evidence is not zero-filled,True,PASS,zero_fill_used=False; weather_zero_fill_used=False,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G08_BOUNDARY_FLAGS_CLEAN,No prohibited score/rank/decision/causality outputs are generated,True,PASS,ability_score_generated=False; ability_rank_generated=False; ability_class_generated=False; radar_score_generated=False; route_suitability_score_generated=False; go_no_go_generated=False; medical_diagnosis_generated=False; causality_claim_generated=False,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G09_NON_DUPLICATIVE_EVIDENCE_DESIGN,Axis uses variability/clustering/degradation/maintenance evidence,True,PASS,components_present=high_route_load_speed_maintenance_index|late_stage_degradation_inverse_index|low_speed_clustering_inverse_index|speed_variability_inverse_index|stopped_clustering_inverse_index,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
G10_REVIEW_CASES_DIRECTIONAL_SANITY,Low/high example activities align with component directions,True,PASS,directional_sanity_passed=5/5; low_ids=40_1|42_1|43_1|44_1|46_1; high_ids=15_1|20_1|23_1|28_1|38_1,"CH6.5.5 pacing / movement stability axis admission audit v1 is descriptive evidence only. It reviews whether the pacing_movement_stability v1 evidence layer can replace the previous limited proxy radar axis. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
