activity_id_short,axis_id,axis_label_zh,component_id,component_weight,component_raw_metric,component_raw_value,component_raw_direction,component_group_relative_index_0_100,component_available,component_missing_reason,component_description,interpretation_boundary
13_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.5953278065207226,lower_is_better,66.667,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.0875,lower_is_better,16.667,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.0125,lower_is_better,4.167,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.5531413858630079,higher_is_better,8.333,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.542361781886415,lower_is_better,79.167,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.03571428571428571,lower_is_better,70.833,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.011904761904761904,lower_is_better,54.167,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.024173868796753206,lower_is_better,33.333,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.6046151447527593,higher_is_better,50.0,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.6131482506526837,lower_is_better,58.333,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.012345679012345678,lower_is_better,79.167,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.0,lower_is_better,85.417,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.5814091377934623,higher_is_better,33.333,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.6635017768773457,lower_is_better,33.333,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.07228915662650602,lower_is_better,47.917,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.012048192771084338,lower_is_better,37.5,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.61410747190216,higher_is_better,58.333,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.41143812622704606,lower_is_better,100.0,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
