script_path,script_name,references_300s_movement_evidence,references_consumption_gate_policy,self_component,matched_evidence_tokens,matched_consumption_tokens,integration_status,integration_reason,allowed_use,disallowed_use,interpretation_boundary
scripts/make_ch6_5_5_300s_movement_consumption_integration_review_v1.py,make_ch6_5_5_300s_movement_consumption_integration_review_v1.py,True,True,True,movement_300s|300s_movement|horizontal_300s|vertical_300s|hr_at_representative_300s|movement_hr_ascent|movement_hr_pause_recovery|ch6_5_5_movement_300s_corrected_data_study,movement_300s_consumption_gate_policy_v1|movement_300s_consumption_activity_summary_v1|movement_300s_consumption_window_review_v1|ch6_5_5_300s_movement_qa_gate_consumption_v1|route_continuity_300s_gate|positive_delta_artifact_guard,SELF_COMPONENT_OK,"Script is part of the study, admission review, QA gate consumption, or this integration review layer.",integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_300s_movement_evidence_admission_review_v1.py,make_ch6_5_5_300s_movement_evidence_admission_review_v1.py,True,True,True,movement_300s|300s_movement|horizontal_300s|vertical_300s|hr_at_representative_300s|ch6_5_5_movement_300s_corrected_data_study,route_continuity_300s_gate|positive_delta_artifact_guard,SELF_COMPONENT_OK,"Script is part of the study, admission review, QA gate consumption, or this integration review layer.",integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_300s_movement_qa_gate_consumption_v1.py,make_ch6_5_5_300s_movement_qa_gate_consumption_v1.py,True,True,True,movement_300s|300s_movement|horizontal_300s|vertical_300s|hr_at_representative_300s|ch6_5_5_movement_300s_corrected_data_study,movement_300s_consumption_gate_policy_v1|movement_300s_consumption_activity_summary_v1|movement_300s_consumption_window_review_v1|ch6_5_5_300s_movement_qa_gate_consumption_v1|route_continuity_300s_gate|positive_delta_artifact_guard,SELF_COMPONENT_OK,"Script is part of the study, admission review, QA gate consumption, or this integration review layer.",integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_activity_history_numeric_attribution_docs.py,make_ch6_5_5_activity_history_numeric_attribution_docs.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_activity_history_numeric_attribution_v0_5.py,make_ch6_5_5_activity_history_numeric_attribution_v0_5.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_activity_history_primary_relabel_v0_4.py,make_ch6_5_5_activity_history_primary_relabel_v0_4.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_movement_300s_corrected_data_study_v1.py,make_ch6_5_5_movement_300s_corrected_data_study_v1.py,True,False,True,movement_300s|horizontal_300s|vertical_300s|movement_hr_ascent|movement_hr_pause_recovery|ch6_5_5_movement_300s_corrected_data_study,NONE,SELF_COMPONENT_OK,"Script is part of the study, admission review, QA gate consumption, or this integration review layer.",integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_movement_300s_corrected_data_study_v1_1.py,make_ch6_5_5_movement_300s_corrected_data_study_v1_1.py,True,False,True,movement_300s|horizontal_300s|vertical_300s|movement_hr_ascent|movement_hr_pause_recovery|ch6_5_5_movement_300s_corrected_data_study,NONE,SELF_COMPONENT_OK,"Script is part of the study, admission review, QA gate consumption, or this integration review layer.",integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_pacing_movement_stability_axis_admission_audit_v1.py,make_ch6_5_5_pacing_movement_stability_axis_admission_audit_v1.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_pacing_movement_stability_axis_v1.py,make_ch6_5_5_pacing_movement_stability_axis_v1.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_personal_activity_performance_radar_preview_v0_2.py,make_ch6_5_5_personal_activity_performance_radar_preview_v0_2.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_personal_activity_performance_radar_report_safe_v0_3.py,make_ch6_5_5_personal_activity_performance_radar_report_safe_v0_3.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_personal_activity_performance_radar_report_safe_v1_terrain_axis.py,make_ch6_5_5_personal_activity_performance_radar_report_safe_v1_terrain_axis.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_personal_activity_performance_radar_v0.py,make_ch6_5_5_personal_activity_performance_radar_v0.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_personal_profile_metadata_join_v0_2.py,make_ch6_5_5_personal_profile_metadata_join_v0_2.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_5_personal_profile_metadata_split_v0_3.py,make_ch6_5_5_personal_profile_metadata_split_v0_3.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_6_terrain_movement_efficiency_axis_admission_audit_v1_2.py,make_ch6_5_6_terrain_movement_efficiency_axis_admission_audit_v1_2.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_6_terrain_movement_efficiency_evidence_v1.py,make_ch6_5_6_terrain_movement_efficiency_evidence_v1.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
scripts/make_ch6_5_route_load_context_index_v1.py,make_ch6_5_route_load_context_index_v1.py,False,False,False,NONE,NONE,NO_300S_MOVEMENT_EVIDENCE_REFERENCE,No 300s movement evidence reference detected by token scan.,integration_review_only,score_rank_class_or_decision_generation,"CH6.5.5 300s movement consumption integration review v1 is an integration review layer only. It inventories scripts that may reference 300s movement evidence and checks whether they consume the QA gate policy. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
