activity_id_short,participant_id,radar_axis_count,supported_axis_count,limited_proxy_axis_count,insufficient_evidence_axis_count,lowest_available_axis_id,highest_available_axis_id,radar_readiness_label,activity_history_primary_label,activity_history_evidence_tier,numeric_attribution_label_v0_5,suggested_report_case_role,hr_median_zone_sex_age_est,tertiary_profile_context_signal,interpretation_boundary,available_axis_count,mean_available_axis_index_0_100,min_available_axis_index_0_100,max_available_axis_index_0_100,missing_axis_count,missing_axis_ids,missing_axis_labels_zh,radar_readiness_label_v1,interpretation_boundary_v1
13_1,13,7,2,3,2,hr_output_efficiency_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,40.111,33.333,52.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
14_1,14,7,2,3,2,sustained_progress,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,76.834,66.667,90.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
15_1,15,7,2,3,2,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,79.0,58.0,96.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
16_1,16,7,2,3,2,sustained_progress,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_BEHAVIOR_NUMERIC_TRIGGER_CONFIRMED,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE3_70_80_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,34.111,20.0,52.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
20_1,20,7,2,3,2,weather_performance_maintenance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,60.445,40.0,68.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
23_1,23,7,2,3,2,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ZONE3_70_80_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,38.778,14.0,57.333,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,7,2,3,2,sustained_progress,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE4_80_90_PCT_HRMAX,SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,38.222,24.0,64.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
29_1,29,7,2,3,2,weather_performance_maintenance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,REFERENCE_OR_LIMITED_ATTENTION_CONTEXT,,,ZONE3_70_80_PCT_HRMAX,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,70.778,56.0,80.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
30_1,30,7,2,3,2,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,66.444,24.0,100.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
33_1,33,7,2,3,2,uphill_load_tolerance_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,72.056,57.0,92.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
35_1,35,7,2,3,2,uphill_load_tolerance_proxy,sustained_progress,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,76.5,55.0,88.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
36_1,36,7,2,3,2,hr_output_efficiency_proxy,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HRMAX_ESTIMATE_OR_SENSOR_REVIEW_CONTEXT,SECONDARY_HRMAX_ESTIMATE_OR_SENSOR_REVIEW,,,HR_ESTIMATE_EXCEEDS_100_REVIEW,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,53.445,33.333,74.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,7,2,3,2,hr_output_efficiency_proxy,weather_performance_maintenance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,38.0,26.667,60.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
38_1,38,7,2,3,2,uphill_load_tolerance_proxy,hr_output_efficiency_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ZONE2_60_70_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,44.0,4.0,68.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
3_1,3,7,2,3,2,sustained_progress,uphill_load_tolerance_proxy,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,REFERENCE_OR_LIMITED_ATTENTION_CONTEXT,,,ZONE2_60_70_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",6,65.445,54.667,78.0,1,route_following_stability,路線跟隨穩定性,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
