"column_name","required","description","example","note"
"mapping_id","true","每一筆 mapping rule 的唯一 ID","osm_highway_steps_technical_v1","建議使用可讀 ID，不要只用流水號"
"source_domain","true","資料來源類型","osm|terrain|hydrology|support|route_profile|manual","用來區分 OSM tag、地形、支援設施、路線剖面等來源"
"source_layer","false","來源圖層或資料層名稱","highway|surface|sac_scale|trail_visibility|slope|waterway|amenity","可對應 IB1C / IB1G / IB1E 的欄位或圖層"
"source_key","true","原始欄位或 tag key","highway","例如 OSM key、route profile 欄位、terrain 欄位"
"source_value","false","原始欄位或 tag value","steps","若規則適用於整個欄位，可留空或使用 *"
"normalized_class","true","正規化後的語意類別","stairs|unpaved_surface|cliff_exposure|poor_visibility","避免每個 OSM tag 直接進六軸，先轉成穩定語意類別"
"primary_axis","true","主要影響的 THCI 軸","technical_difficulty_score","六軸之一"
"secondary_axis","false","次要影響的 THCI 軸","weather_impact_score","跨軸特徵可填，但權重應較低，避免重複計分"
"effect_direction","true","此特徵對風險分數的方向","increase|decrease|contextual","例如 shelter 會降低支援不易；cliff 會增加基礎危害"
"base_weight","true","初始權重，建議 0 到 1","0.6","此階段可先填 draft 值，之後再校正"
"base_score","true","初始風險分數，建議 0 到 1","0.7","正式 runtime 讀這個固定值，不即時問 LLM"
"confidence","true","規則可信度","high|medium|low","人工審核或資料驗證後可調整"
"aggregation_hint","false","聚合建議","max|mean|p95|length_weighted_mean|presence","例如 hazard 常用 max，體力常用 length-weighted 或累積量"
"double_count_guard","false","避免跨軸重複計分的說明","stairs: physical only when sustained climb; technical for footing","跨軸特徵必填較好"
"review_status","true","審核狀態","draft|draft_accepted|needs_review|deprecated","正式計分只能使用 draft_accepted 或 accepted"
"version","true","mapping 規則版本","v1.0","後續每次修改都要版本化"
"note","false","人工說明","雨天時另由 weather_impact_score 放大","給 handoff / QA / 研究記錄使用"
