schema_version,review_item,review_status,affected_field,finding,interpretation_boundary,recommended_action,safe_for_6_5_1_text
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,FULL25_DESCRIPTIVE_ANALYSIS_SCOPE,USABLE_WITH_BOUNDARIES,full25 evidence layer,"25 usable activities and 2054 50m route-window rows support descriptive route-load, behavior, OSM exposure, and activity-level weather context analysis.",Supports descriptive association and coverage summaries only; does not support ability ranking or causal inference.,Use as the evidence basis for 6.5.1 with all review boundaries retained.,True
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,ROUTE_PHASE_LIMITATION,BLOCK_DIRECTIONAL_INTERPRETATION,route_phase,2054/2054 windows (100.00%) are UNKNOWN.,"Full25 evidence cannot distinguish ascent, descent, or a single directional pass through a route window.",Do not write ascent-versus-descent or pass-specific comparisons.,False
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,ELAPSED_SPAN_LIMITATION,DO_NOT_INTERPRET_AS_PASS_TIME,elapsed_time_span_sec,The field is max(elapsed_sec)-min(elapsed_sec) inside a route bin; the same route bin may aggregate observations from multiple separated periods.,"It is an aggregation span, not route-window traversal time.",Exclude from completion-time or single-pass duration statements.,False
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,POINT_RATIO_NAMING,RENAME_RECOMMENDED,stopped_ratio|low_speed_ratio,Both ratios use point counts as denominators rather than time-weighted duration.,"They describe sampled point proportions, not percentages of time.",Use stopped_point_ratio and low_speed_point_ratio in future contracts; define the denominator explicitly in 6.5.1.,True
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,SLOPE_EVIDENCE_LIMITATION,SECONDARY_REVIEW_ONLY,calibrated_slope_pct_median|calibrated_slope_pct_p75_abs,Slope coverage is 978/2054 (47.61%); SLOPE_REVIEW_PRESENT appears in 2051/2054 windows (99.85%).,Calibrated slope must not be the primary 6.5.1 route-load source.,Retain only as secondary reviewed context.,False
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,PRIMARY_ROUTE_LOAD_EVIDENCE,SAFE_DESCRIPTIVE,route_profile_elevation_min_m|route_profile_elevation_max_m|route_profile_elevation_range_m|ib2_terrain_evidence_median|ib2_effort_evidence_median|ib2_exposure_evidence_median|ib2_risk_band_evidence,All seven preferred route-profile and IB2 evidence fields cover 2054/2054 windows.,"IB2 terrain, effort, exposure, and risk-band fields describe route evidence and are not personal ability labels.",Use these fields as the primary route-load evidence in 6.5.1.,True
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,ROUTE_LOAD_RULE_LABEL,RENAME_RECOMMENDED,route_load_context_band,"The field is a rule-derived context label combining slope, IB2 effort evidence, and IB2 risk-band evidence.",It is neither an ability class nor a formal risk score.,Rename to route_load_evidence_rule_label in a future contract.,True
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,NEAREST_ENVIRONMENT_DISTANCE_LIMITATION,NO_ANALYTIC_DISCRIMINATION,nearest_environment_feature_distance_m_min,2054/2054 values (100.00%) are zero.,The generic minimum distance cannot distinguish environment exposure.,Do not use; prefer feature-specific near_*_ratio fields.,False
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,ROAD_CLIFF_EXPOSURE_LIMITATION,NO_COMPARATIVE_VARIATION,near_road_ratio|near_cliff_ratio,near_road_ratio is positive in 2054/2054 windows; near_cliff_ratio is positive in 0/2054 windows.,All-positive or all-zero exposure has no within-dataset contrast.,Exclude road and cliff proximity from comparative claims.,False
ib3_personal_hiking_features_route_load_comparison_full25_review_v1,OSM_FACILITY_EXPOSURE_BOUNDARY,SAFE_AS_EXPOSURE_ONLY,osm_exposure_types|near_*_ratio,Feature-specific proximity ratios retain mapped environmental and facility exposure evidence.,Mapped proximity does not prove facility use or behavioral response.,"Write exposure, proximity, or mapped context; never write facility use.",True
