feature_family,source_fields,time_effect_type,observation_time_semantics,route_window_join_rule,allowed_interpretation,forbidden_interpretation,related_existing_contract,downstream_boundary_field_hint
temperature,temperature_c,INSTANT_OR_NEAR_REAL_TIME_STATE,Near-real-time air temperature around obs_time.,May be joined to an activity route-window by nearest or covered observation time window.,Route-window temperature background when the hiker passed that route segment.,Do not claim climate normal or heat illness by temperature alone.,ib3w_weather_observation_availability_contract_v1.md; ib3w_environment_feature_contract_v1_20260613.md,temperature_time_effect_type
relative_humidity,relative_humidity_pct,INSTANT_OR_NEAR_REAL_TIME_STATE,Near-real-time humidity around obs_time.,May be joined to an activity route-window by nearest or covered observation time window.,Route-window humidity background when the hiker passed that route segment.,"Do not claim actual fog, low visibility, surface wetness, or heat illness from humidity alone.",ib3w_weather_observation_availability_contract_v1.md; ib3w_environment_feature_contract_v1_20260613.md,humidity_time_effect_type
mean_wind,wind_speed_ms|wind_direction_deg,INSTANT_OR_NEAR_REAL_TIME_STATE_OR_SHORT_INTERVAL_SUMMARY,Near-real-time or short-interval mean wind condition around obs_time.,May be joined to a route-window as station-level wind background.,"Route-window mean-wind background and possible modifier for drying, wet-cold, or exposure proxy.","Do not claim route-point measured wind field, gust exposure, or terrain-shielded wind without separate evidence.",ib3w_weather_observation_availability_contract_v1.md,wind_time_effect_type
pressure,pressure_hpa,INSTANT_OR_NEAR_REAL_TIME_STATE_PARTIAL_STATION_ONLY,"Near-real-time pressure around obs_time, limited to stations with pressure availability.",May be joined only after station-specific availability QA.,Partial pressure context or future pressure-trend context.,Do not fill missing pressure with zero or use across stations with zero availability.,ib3w_weather_observation_availability_contract_v1.md,pressure_time_effect_type
raw_precipitation,precipitation_mm,INTERVAL_ACCUMULATION_OR_OBSERVED_RAIN_SIGNAL_ENDING_AT_OBS_TIME,Raw precipitation signal associated with obs_time. Interpret conservatively as rain observed before or up to obs_time unless source interval is proven.,Do not treat as instantaneous rain rate. Use for recent or antecedent rain context with source semantics preserved.,Observed rain signal for recent or antecedent precipitation background.,Do not claim current rain at obs_time. Do not treat raw precipitation_mm as cumulative rainfall unless proven. Do not impute missing rain as zero.,ib3w_weather_observation_availability_contract_v1.md,precipitation_time_effect_type
short_duration_rain,precipitation_10min_mm|precipitation_1hr_mm,UNAVAILABLE_DIRECT_SHORT_DURATION_RAIN_IN_CURRENT_DB,Fields exist but have zero observed availability in the current DB.,Must remain unavailable or no-variable. Cannot be joined as direct short-duration rain.,External source may be inventoried later.,Do not infer 10-minute or 1-hour rainfall intensity from missing fields.,ib3w_weather_observation_availability_contract_v1.md,short_duration_rain_context_status
antecedent_rain,rain_lookback_6h|rain_lookback_24h|rain_lookback_72h|rain_lookback_7d|hours_since_last_observed_rain,ANTECEDENT_LOOKBACK_CONTEXT,Summarizes observed rain signals before activity start or before a target window.,May be attached to activity-level or route-window report as preceding weather background.,Activity-preceding rain background and possible support for conservative wetness or hydrologic proxy review.,"Do not directly claim current rain, wet trail, soil moisture, stream surge, or slope instability.",ib3w_weather_observation_availability_contract_v1.md; ib3w_route_window_weather_context_summary_report_v1,antecedent_time_effect_type
surface_wetness_proxy,surface_wetness_proxy_status|surface_wetness_context_status,DELAYED_RESPONSE_PROXY,"Possible delayed surface condition from prior rain, humidity, temperature, wind, and drying context.",May be used as review-only delayed-effect context.,Conservative review-only surface wetness proxy.,"Do not claim directly observed wet trail, soil moisture, or slip condition.",ib3w_weather_observation_availability_contract_v1.md,surface_wetness_time_effect_type
sunshine_drying_proxy,sunshine_duration_min|drying_context_status,PROXY_OR_UNAVAILABLE_DIRECT_SUNSHINE_CONTEXT,"Direct sunshine_duration_min is unavailable in the current DB. Drying may only use temperature, humidity, and wind as partial evidence.",May be used only with explicit direct-sunshine unavailable boundary.,Partial drying context with no direct sunshine observation.,Do not treat missing sunshine_duration_min as zero sunshine or claim direct solar exposure.,ib3w_weather_observation_availability_contract_v1.md,sunshine_context_status
fog_low_cloud_proxy,visibility_m|weather|dew_point_depression|relative_humidity_pct,NOT_OBSERVED_PROXY_ONLY,"Direct visibility and weather text are unavailable. Proxy may use humidity saturation, dew-point depression, wind, timing, and wetness context.",May be used only as fog or low-cloud condition proxy with actual fog not claimed.,Review-only condition proxy for fog or low-cloud likelihood.,"Do not claim observed fog, observed low visibility, or actual navigation failure.",ib3w_weather_observation_availability_contract_v1.md,actual_fog_claim_status
wet_cold_exposure_proxy,temperature_c|relative_humidity_pct|wind_speed_ms|precipitation_mm,WET_COLD_CONTEXT_NEAR_REAL_TIME_WITH_ANTECEDENT_MODIFIERS,"Combines near-real-time cold, wind, and humidity with recent or antecedent moisture signals.","May be used as context only because exposure, clothing, and physiology are not directly known.",Wet-cold environmental context proxy.,"Do not claim hypothermia, medical risk, or individual physiological outcome.",ib3w_weather_observation_availability_contract_v1.md; ib3w_environment_feature_contract_v1_20260613.md,wet_cold_time_effect_type
heat_humid_context,temperature_c|relative_humidity_pct|wind_speed_ms|heat_index_c,HEAT_HUMID_CONTEXT_NEAR_REAL_TIME_WITH_THRESHOLD_BOUNDARY,"Derived from near-real-time temperature, humidity, and wind where threshold and source support exist.","May be joined to activity or route-window to describe temperature, humidity, wind variation, and heat-index support status.",Heat or humid environmental context if supported. Otherwise not-supported-by-available-weather.,"Do not claim WBGT, UV, direct sunshine, heat illness diagnosis, medical judgment, THCI, or final risk.",ib3w_weather_observation_availability_contract_v1.md; ib3w_environment_feature_contract_v1_20260613.md,heat_humid_time_effect_type
water_level,water_level_m,INSTANT_OR_NEAR_REAL_TIME_STATE_WITH_ANTECEDENT_CAUSE,"Water level itself is near-real-time hydrologic state, but its cause may be delayed upstream or antecedent rainfall.",May be joined as direct water-level state only if future water observations are available and station representativeness is reviewed.,Near-real-time water-level background for hydrologic context.,Do not infer that rainfall happened at the same route-window time solely from elevated water level.,ib3w_weather_time_effect_semantics_v1.csv,water_level_time_effect_type
hydrologic_response_proxy,water_level_m|antecedent_rain|precipitation_mm,DELAYED_RESPONSE_PROXY,"Hydrologic response may lag rainfall depending on catchment, upstream rain, drainage, and waterbody response.",Use only as review-only delayed hydrologic context unless direct water-level evidence exists.,Conservative hydrologic response proxy or direct water-level state when supported.,Do not claim stream surge or unsafe crossing without direct hydrology or source evidence.,ib3w_weather_time_effect_semantics_v1.csv,hydrologic_response_time_effect_type
