field_name,output_level,field_group,source_field_or_rule,aggregation,required,missing_policy,interpretation_boundary
schema_version,window|activity|audit,identity,constant,constant,True,fail,Schema identifier only
activity_id_short,window|activity,identity,usability gate activity_id_short,identity,True,fail,Activity identity only
activity_id_full,window|activity,identity,usability gate activity_id_full,identity,True,fail,Activity identity only
fixture_activity,window|activity,fixture_scope,configured fixture activity ids,constant True,True,fail,Small smoke membership only
route_distance_window_start_m,window,route_axis,floor(v1l2_ib2_dist_m / 50) * 50,50m bin,True,drop row and audit,Canonical route-distance evidence
route_distance_window_end_m,window,route_axis,route_distance_window_start_m + 50,50m bin,True,drop row and audit,Canonical route-distance evidence
route_phase,window,route_axis,route_phase,group key,True,preserve UNKNOWN,Separates repeated route-distance traversal where available
point_count,window,coverage,row count,count,True,fail,Evidence coverage only
duration_observed_sec,window,behavior,dt_sec,sum valid values where 0 < dt_sec <= 30,True,blank if unavailable,Observed valid interval duration
elapsed_time_span_sec,window,behavior,elapsed_sec,max minus min,True,blank if unavailable,Span is not summed active duration
speed_mps_median,window,behavior,calibrated_speed_mps,median,True,blank if unavailable,Descriptive movement response
speed_mps_p25,window,behavior,calibrated_speed_mps,p25 inclusive,False,blank if unavailable,Descriptive movement response
speed_mps_p75,window,behavior,calibrated_speed_mps,p75 inclusive,False,blank if unavailable,Descriptive movement response
stopped_ratio,window,behavior,movement_state == STOPPED,count / point_count,True,blank if unavailable,Observed state ratio; not an ability judgment
low_speed_ratio,window,behavior,movement_state == SLOW_MOVING or calibrated_speed_mps <= 0.25,count / point_count excluding STOPPED,True,blank if unavailable,Observed low-speed evidence; not a penalty
heart_rate_bpm_median,window,behavior,heart_rate_bpm,median,False,blank if unavailable,Physiology context only
heart_rate_bpm_p75,window,behavior,heart_rate_bpm,p75 inclusive,False,blank if unavailable,Physiology context only
heart_rate_bpm_p90,window,behavior,heart_rate_bpm,p90 inclusive,False,blank if unavailable,Physiology context only
calibrated_slope_pct_median,window,route_load,calibrated_slope_pct,median,False,blank if unavailable,Route-load evidence; never use legacy gain
calibrated_slope_pct_p75_abs,window,route_load,abs(calibrated_slope_pct),p75 inclusive,False,blank if unavailable,Route-load evidence; never use legacy gain
