activity_id_short,route_load_context_band,window_point_count,hr_median_bpm,hr_p75_bpm,speed_mps_median,speed_per_hr_mps_per_bpm,boundary
37_1,HIGH_ROUTE_LOAD_CONTEXT,3446,146.0,163.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
37_1,LOWER_ROUTE_LOAD_CONTEXT,1632,157.0,165.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
37_1,MODERATE_ROUTE_LOAD_CONTEXT,1636,155.0,164.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
37_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2798,166.0,171.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
13_1,HIGH_ROUTE_LOAD_CONTEXT,1609,153.0,163.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
13_1,LOWER_ROUTE_LOAD_CONTEXT,724,140.0,149.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
13_1,MODERATE_ROUTE_LOAD_CONTEXT,3466,119.0,135.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
13_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2503,153.0,168.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,HIGH_ROUTE_LOAD_CONTEXT,1150,151.0,163.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,LOWER_ROUTE_LOAD_CONTEXT,803,131.0,149.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,MODERATE_ROUTE_LOAD_CONTEXT,3327,100.0,120.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
14_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,1901,145.0,164.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
15_1,HIGH_ROUTE_LOAD_CONTEXT,1214,164.0,170.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
