activity_id,study_population_status,baseline_population_gate,detector_file_found,route_issue_event_count,deviation_start_candidate_count,navigation_check_candidate_count,rejoin_candidate_count,complete_chain_candidate_count,unresolved_deviation_candidate_count,terminal_artifact_excluded_count,chain_review_status,admission_status,missing_or_review_reason
3_1,RADAR_BASELINE_ACTIVITY,PASS,True,5,0,5,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
6_1,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,BLOCKED_EXTRA_SOURCE,True,1,0,0,1,0,0,1,BLOCKED_EXTRA_SOURCE_NOT_BASELINE,NOT_ADMITTED_EXTRA_SOURCE,Extra source activity is outside the radar baseline population.
8_1,RADAR_BASELINE_ACTIVITY,PASS,True,6,0,6,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
9_1,RADAR_BASELINE_ACTIVITY,PASS,True,8,0,8,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
13_1,RADAR_BASELINE_ACTIVITY,PASS,True,2,0,2,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
14_1,RADAR_BASELINE_ACTIVITY,PASS,True,7,0,7,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
15_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
16_1,RADAR_BASELINE_ACTIVITY,PASS,True,16,0,16,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
20_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
23_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
28_1,RADAR_BASELINE_ACTIVITY,PASS,True,9,0,9,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
29_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
30_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
33_1,RADAR_BASELINE_ACTIVITY,PASS,True,1,0,1,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
35_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
36_1,RADAR_BASELINE_ACTIVITY,PASS,True,2,1,1,0,0,1,1,UNRESOLVED_OR_SINGLE_EVENT_CHAIN_CANDIDATE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detected off-route or rejoin-like candidate events do not establish a validated deviation-start -> correction/rejoin chain.
37_1,RADAR_BASELINE_ACTIVITY,PASS,True,6,0,5,1,0,0,1,UNRESOLVED_OR_SINGLE_EVENT_CHAIN_CANDIDATE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detected off-route or rejoin-like candidate events do not establish a validated deviation-start -> correction/rejoin chain.
38_1,RADAR_BASELINE_ACTIVITY,PASS,True,0,0,0,0,0,0,1,NO_NON_TERMINAL_DEVIATION_CHAIN_EVIDENCE,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,Detector-covered activity has no non-terminal deviation correction event-chain evidence.
40_1,RADAR_BASELINE_ACTIVITY,PASS,True,3,0,3,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
41_1,RADAR_BASELINE_ACTIVITY,PASS,True,1,0,1,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
42_1,RADAR_BASELINE_ACTIVITY,PASS,True,18,0,18,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
43_1,RADAR_BASELINE_ACTIVITY,PASS,True,29,0,29,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
44_1,RADAR_BASELINE_ACTIVITY,PASS,True,5,0,5,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
45_1,RADAR_BASELINE_ACTIVITY,PASS,True,1,0,1,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
46_1,RADAR_BASELINE_ACTIVITY,PASS,True,25,0,25,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
48_1,RADAR_BASELINE_ACTIVITY,PASS,True,36,0,36,0,0,0,1,ROUTE_ISSUE_ONLY_NO_DEVIATION_CORRECTION_CHAIN,RETAIN_AS_MISSING_EVIDENCE_ANNOTATION_REQUIRES_EVENT_CHAIN_VALIDATION,"Route-following issue evidence exists, but it is not deviation correction chain evidence."
