activity_id_short,participant_id,axis_id,axis_label_zh,axis_group_relative_index_0_100,axis_support_status,axis_component_metrics,axis_description,activity_history_primary_label,activity_history_evidence_tier,numeric_attribution_label_v0_5,suggested_report_case_role,numeric_attention_flag_count,movement_degradation_flag_count,numeric_attention_flags,hr_median_zone_sex_age_est,tertiary_profile_context_signal,interpretation_boundary,axis_source,terrain_movement_context_label,axis_admission_decision
13_1,13,sustained_progress,持續推進能力,38.667,SUPPORTED_ACTIVITY_HISTORY,speed_mps_median_median|low_speed_ratio_avg|stopped_ratio_avg,"Group-relative movement continuity using speed, low-speed ratio, and stopped ratio.",HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
13_1,13,uphill_load_tolerance_proxy,上坡負荷承受力（有限代理）,34.0,LIMITED_PROXY_ACTIVITY_HISTORY,route_load_behavior_candidate_window_ratio|uphill_high_route_load_ratio,Limited proxy using route-load behavior response and uphill high-load exposure context. This is not a true VAM/vertical-output capacity axis.,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
13_1,,terrain_movement_efficiency,地形移動維持（描述性）,44.0,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,,Descriptive CH6.5.6 terrain/surface x movement-response evidence. Admitted by CH6.5.6 axis admission audit v1.2.,,,,,,,,,,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence.",CH6.5.6 terrain_movement_efficiency_axis_update_v1.csv,REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY
13_1,13,pacing_movement_stability,配速／移動穩定性,38.667,SUPPORTED_ACTIVITY_HISTORY,low_speed_ratio_avg|stopped_ratio_avg|speed_mps_median_median,"Group-relative pacing and movement stability from low-speed, stopped, and speed metrics.",HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
13_1,13,hr_output_efficiency_proxy,HR 輸出效率（有限代理）,33.333,LIMITED_SECONDARY_HR_CONTEXT,speed_mps_median_median|hr_median_pct_sex_age_est_hrmax|low_speed_ratio_avg,Limited proxy combining movement output and sex-age estimated HR% context. High HR alone is not strain.,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
13_1,13,weather_performance_maintenance_proxy,天候下表現維持（有限代理）,52.0,LIMITED_PROXY_ACTIVITY_WEATHER_CONTEXT,behavior_weather_context_review_required_ratio|route_load_behavior_candidate_window_ratio,Limited proxy from behavior-weather overlap and route-load behavior response. Station weather is descriptive context only.,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
13_1,13,route_following_stability,路線跟隨穩定性,,INSUFFICIENT_EVIDENCE,NONE,Requires formal on-route / wrong-branch / deviation-recovery evidence; not scored in v0.,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
14_1,14,sustained_progress,持續推進能力,66.667,SUPPORTED_ACTIVITY_HISTORY,speed_mps_median_median|low_speed_ratio_avg|stopped_ratio_avg,"Group-relative movement continuity using speed, low-speed ratio, and stopped ratio.",HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
14_1,14,uphill_load_tolerance_proxy,上坡負荷承受力（有限代理）,87.0,LIMITED_PROXY_ACTIVITY_HISTORY,route_load_behavior_candidate_window_ratio|uphill_high_route_load_ratio,Limited proxy using route-load behavior response and uphill high-load exposure context. This is not a true VAM/vertical-output capacity axis.,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,SECONDARY_HR_OUTPUT_CONTEXT_NOT_STRAIN,,,,,,ZONE4_80_90_PCT_HRMAX,HIGHER_ESTIMATED_VO2MAX_CONTEXT,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled.",,,
14_1,,terrain_movement_efficiency,地形移動維持（描述性）,84.0,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,,Descriptive CH6.5.6 terrain/surface x movement-response evidence. Admitted by CH6.5.6 axis admission audit v1.2.,,,,,,,,,,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence.",CH6.5.6 terrain_movement_efficiency_axis_update_v1.csv,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY
