gate_case,trigger_condition,consumption_gate,allowed_downstream_use,blocked_downstream_use,required_boundary_fields,reason
observed_direct_context_available,representative_feature_status is PRIMARY_REPRESENTATIVE_FEATURES_AVAILABLE_PARTIAL or PRIMARY_REPRESENTATIVE_FEATURES_AVAILABLE_FULL and zero_fallback_true_count equals 0,ALLOW_CONTEXT_ONLY,May be used as weather context evidence for observed variables only.,Must not compute THCI final radar final hiking risk or medical diagnosis solely from this gate.,representative_feature_status|zero_fallback_true_count|available_weather_variable_set|missing_weather_variable_set,Observed variables may be consumed as context but not as final score.
no_primary_representative_rows,representative_feature_status is NO_PRIMARY_REPRESENTATIVE_ROWS,BLOCK_SCORE_WEATHER_UNAVAILABLE,May preserve unavailable weather status for audit and explanation.,Must not score weather-sensitive activity features or treat absence as benign weather.,representative_feature_status|weather_sensitive_feature_gate|weather_sensitive_feature_gate_reason,No primary representative rows means weather evidence unavailable not normal.
all_primary_rows_missing,representative_feature_status is PRIMARY_REPRESENTATIVE_ROWS_ALL_MISSING,BLOCK_SCORE_WEATHER_UNAVAILABLE,May preserve missing evidence and QA status.,Must not score or infer normal weather from all-missing rows.,representative_feature_status|weather_sensitive_feature_gate|weather_sensitive_feature_gate_reason,All primary rows missing must block scoring.
zero_fallback_detected,zero_fallback_true_count greater than 0,BLOCK_SCORE_ZERO_FALLBACK,May emit QA failure and block downstream consumption.,Must not consume any weather-derived score or context from the failed layer.,zero_fallback_true_count|weather_sensitive_feature_gate|weather_sensitive_feature_gate_reason,Missing-to-zero fallback invalidates weather context consumption.
partial_observed_variables,available_weather_variable_set is non-empty and missing_weather_variable_set is non-empty and zero_fallback_true_count equals 0,ALLOW_CONTEXT_ONLY,May consume only observed variables listed in available_weather_variable_set.,Must not consume missing variables or fill missing values.,available_weather_variable_set|missing_weather_variable_set|zero_fallback_true_count,Partial features are valid only for observed variables.
proxy_only_context,context output has proxy-only status or NOT_OBSERVED_PROXY_ONLY time_effect_type and zero_fallback_true_count equals 0,ALLOW_PROXY_REVIEW_ONLY,May use as review-only contextual evidence with explicit direct-observation boundary.,Must not claim direct observation or final risk from proxy-only context.,proxy_claim_status|direct_observation_status|time_effect_type,Proxy-only context needs explicit claim boundary.
unsupported_direct_observation_claim,output claims direct WBGT UV sunshine visibility weather text gust short-duration rain heat illness THCI or final risk without supported source,BLOCK_SCORE_UNSUPPORTED_DIRECT_CLAIM,May keep record for QA failure and documentation.,Must not publish or consume direct unsupported claim.,claim_boundary_status|direct_observation_status|source_support_status,Unsupported direct claim must block downstream use.
antecedent_lookback_context,time_effect_type is ANTECEDENT_LOOKBACK_CONTEXT,ALLOW_PROXY_REVIEW_ONLY,May use as preceding weather background or support for conservative delayed-effect proxy review.,Must not directly claim current rain wet trail soil moisture stream surge or slope instability.,time_effect_type|antecedent_time_effect_type|delayed_effect_boundary,Antecedent rain is lookback context not direct current condition.
delayed_response_proxy,time_effect_type is DELAYED_RESPONSE_PROXY,ALLOW_PROXY_REVIEW_ONLY,May use as review-only delayed-response context.,Must not claim direct wet trail soil moisture stream surge slope instability or unsafe crossing without direct evidence.,time_effect_type|proxy_claim_status|direct_observation_status,Delayed response proxy is not direct observation.
not_observed_proxy_only,time_effect_type is NOT_OBSERVED_PROXY_ONLY,ALLOW_PROXY_REVIEW_ONLY,May use only as proxy or review-only evidence.,Must not claim actual fog low visibility or observed weather text.,time_effect_type|actual_claim_status|direct_observation_status,Direct target is unavailable in current DB.
final_score_request,downstream asks for THCI radar final hiking risk or medical diagnosis from IB3W context alone,BLOCK_SCORE_UNSUPPORTED_DIRECT_CLAIM,May pass context to a separate validated downstream model only after gate acceptance.,Must not directly output final score from IB3W context layer alone.,weather_sensitive_feature_gate|downstream_score_authorization_status,IB3W is context evidence not final scoring.
