activity_id_short,participant_id,axis_id,axis_label_zh,component_metric,component_role,component_raw_value,component_group_relative_index_0_100,component_support_status,interpretation_boundary
13_1,13,sustained_progress,持續推進能力,speed_mps_median_median,HIGHER_IS_MORE_FAVORABLE,0.669343,52.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,sustained_progress,持續推進能力,low_speed_ratio_avg,LOWER_IS_MORE_FAVORABLE,0.218352,36.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,sustained_progress,持續推進能力,stopped_ratio_avg,LOWER_IS_MORE_FAVORABLE,0.014726,28.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,uphill_load_tolerance_proxy,上坡負荷承受力（有限代理）,route_load_behavior_candidate_window_ratio,LOWER_IS_MORE_FAVORABLE,0.475,52.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,uphill_load_tolerance_proxy,上坡負荷承受力（有限代理）,uphill_high_route_load_ratio,LOWER_IS_MORE_FAVORABLE_CONTEXT_ONLY,0.175,16.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,pacing_movement_stability,配速／移動穩定性,low_speed_ratio_avg,LOWER_IS_MORE_FAVORABLE,0.218352,36.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,pacing_movement_stability,配速／移動穩定性,stopped_ratio_avg,LOWER_IS_MORE_FAVORABLE,0.014726,28.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,pacing_movement_stability,配速／移動穩定性,speed_mps_median_median,HIGHER_IS_MORE_FAVORABLE,0.669343,52.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,hr_output_efficiency_proxy,HR 輸出效率（有限代理）,speed_mps_median_median,HIGHER_IS_MORE_FAVORABLE,0.669343,52.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
13_1,13,hr_output_efficiency_proxy,HR 輸出效率（有限代理）,hr_median_pct_sex_age_est_hrmax,LOWER_IS_MORE_FAVORABLE,89.01614310645725,12.0,AVAILABLE,"Descriptive CH6.5.5 personal activity performance radar-ready context only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes remain INSUFFICIENT_EVIDENCE and are not zero-filled."
