activity_id_short,segment_start_m,segment_end_m,segment_window_count,dominant_planning_caution_level,max_route_load_context_index_0_100,dominant_route_load_context_band,route_load_evidence_flags_merged,weather_planning_context_flags_merged,behavior_response_planning_flags_merged,event_annotation_flags_merged,planning_context_flags_merged,planning_caution_reason_flags_merged,segment_boundary
13_1,0,100,2,REVIEW_FOR_CONSERVATIVE_PLANNING,53.953,LOWER_ROUTE_LOAD_CONTEXT,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_EFFORT_HIGH,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_LOW_SPEED_RESPONSE|BEHAVIOR_LOW_SPEED_RATIO_HIGH,NONE,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_NAVIGATION_CONTEXT|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WATERWAY_PROXIMITY_CONTEXT|GUIDEPOST_PROXIMITY_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|BEHAVIOR_LOW_SPEED_RESPONSE|BEHAVIOR_LOW_SPEED_RATIO_HIGH|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE|IB2_EFFORT_HIGH,HIGH_ROUTE_OR_IB2_CONTEXT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,100,150,1,CONSERVATIVE_PLANNING_RECOMMENDED,71.603,HIGH_ROUTE_LOAD_CONTEXT,ROUTE_LOAD_HIGH_CONTEXT|IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,NONE,NONE,ROUTE_LOAD_HIGH_CONTEXT|IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WATERWAY_PROXIMITY_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,IB2_OR_WEATHER_CONTEXT_PRESENT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,150,300,3,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,100.0,VERY_HIGH_ROUTE_LOAD_CONTEXT,ROUTE_LOAD_HIGH_CONTEXT|ROUTE_LOAD_VERY_HIGH_CONTEXT|VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_LOW_SPEED_RESPONSE|BEHAVIOR_LOW_SPEED_RATIO_HIGH,NONE,ROUTE_LOAD_HIGH_CONTEXT|ROUTE_LOAD_VERY_HIGH_CONTEXT|VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WATERWAY_PROXIMITY_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|BEHAVIOR_LOW_SPEED_RESPONSE|BEHAVIOR_LOW_SPEED_RATIO_HIGH|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,VERY_HIGH_ROUTE_LOAD_CONTEXT|ROUTE_LOAD_BEHAVIOR_CANDIDATE|IB2_OR_WEATHER_CONTEXT_PRESENT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,300,350,1,CONSERVATIVE_PLANNING_RECOMMENDED,69.318,HIGH_ROUTE_LOAD_CONTEXT,ROUTE_LOAD_HIGH_CONTEXT|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,NONE,NONE,ROUTE_LOAD_HIGH_CONTEXT|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,IB2_OR_WEATHER_CONTEXT_PRESENT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,350,400,1,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,89.17,VERY_HIGH_ROUTE_LOAD_CONTEXT,ROUTE_LOAD_HIGH_CONTEXT|ROUTE_LOAD_VERY_HIGH_CONTEXT|VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_LOW_SPEED_RESPONSE,NONE,ROUTE_LOAD_HIGH_CONTEXT|ROUTE_LOAD_VERY_HIGH_CONTEXT|VERTICAL_RANGE_HIGH|SLOPE_HIGH|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|BEHAVIOR_LOW_SPEED_RESPONSE|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,VERY_HIGH_ROUTE_LOAD_CONTEXT|ROUTE_LOAD_BEHAVIOR_CANDIDATE|IB2_OR_WEATHER_CONTEXT_PRESENT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,400,500,2,CONSERVATIVE_PLANNING_RECOMMENDED,79.45,HIGH_ROUTE_LOAD_CONTEXT,ROUTE_LOAD_HIGH_CONTEXT|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,NONE,NONE,ROUTE_LOAD_HIGH_CONTEXT|IB2_EFFORT_HIGH|TERRAIN_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,IB2_OR_WEATHER_CONTEXT_PRESENT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,500,550,1,TURNAROUND_CONDITION_REVIEW_RECOMMENDED,81.359,VERY_HIGH_ROUTE_LOAD_CONTEXT,ROUTE_LOAD_HIGH_CONTEXT|ROUTE_LOAD_VERY_HIGH_CONTEXT|IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_RELATIVE_HIGH_HR_RESPONSE,NONE,ROUTE_LOAD_HIGH_CONTEXT|ROUTE_LOAD_VERY_HIGH_CONTEXT|IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|BEHAVIOR_RELATIVE_HIGH_HR_RESPONSE|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,VERY_HIGH_ROUTE_LOAD_CONTEXT|ROUTE_LOAD_BEHAVIOR_CANDIDATE|IB2_OR_WEATHER_CONTEXT_PRESENT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,550,600,1,REVIEW_FOR_CONSERVATIVE_PLANNING,56.185,MODERATE_ROUTE_LOAD_CONTEXT,IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_RELATIVE_HIGH_HR_RESPONSE|BEHAVIOR_LOW_SPEED_RESPONSE,NONE,IB2_EFFORT_HIGH|STEPS_SURFACE_HIGH|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|SHELTER_PROXIMITY_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|BEHAVIOR_RELATIVE_HIGH_HR_RESPONSE|BEHAVIOR_LOW_SPEED_RESPONSE|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,HIGH_ROUTE_OR_IB2_CONTEXT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,700,750,1,REVIEW_FOR_CONSERVATIVE_PLANNING,26.634,LOWER_ROUTE_LOAD_CONTEXT,SLOPE_HIGH,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_RELATIVE_HIGH_HR_RESPONSE|BEHAVIOR_LOW_SPEED_RESPONSE|BEHAVIOR_LOW_SPEED_RATIO_HIGH,NONE,SLOPE_HIGH|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|SHELTER_PROXIMITY_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|BEHAVIOR_RELATIVE_HIGH_HR_RESPONSE|BEHAVIOR_LOW_SPEED_RESPONSE|BEHAVIOR_LOW_SPEED_RATIO_HIGH|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE,HIGH_ROUTE_OR_IB2_CONTEXT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
13_1,800,1200,8,REVIEW_FOR_CONSERVATIVE_PLANNING,48.056,LOWER_ROUTE_LOAD_CONTEXT,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|SLOPE_HIGH,WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT,BEHAVIOR_LOW_SPEED_RESPONSE,NONE,SLOPE_LOAD_FALLBACK_VERTICAL_RANGE|IB2_NAVIGATION_CONTEXT|IB2_WEATHER_SENSITIVE_ROUTE_EXPOSURE_CONTEXT|GUIDEPOST_PROXIMITY_CONTEXT|WEATHER_ACTIVITY_LEVEL_ONLY|WEATHER_WIND_GUST_CONTEXT|WEATHER_HIGH_UV_CONTEXT|ROUTE_PHASE_UNKNOWN|OSM_PROXIMITY_NOT_USAGE|IB2_SUPPORT_CONTEXT|SLOPE_HIGH|BEHAVIOR_LOW_SPEED_RESPONSE,HIGH_ROUTE_OR_IB2_CONTEXT,"Descriptive planning context evidence only. This is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment. Weather is activity-level context unless an explicit safe route-window source is used. OSM proximity is not proof of facility use. IB3D/event annotations are not causality evidence."
