participant_id,activity_id_short,study_population_status,axis_id,axis_label_zh,old_axis_output_mode,new_axis_output_mode,old_axis_value_allowed,new_axis_value_allowed,old_axis_value,new_axis_value,axis_value_unit,patch_reason,evidence_source,evidence_fields,evidence_state,route_issue_event_count,terminal_event_rows,non_terminal_event_rows,admission_status,admission_decision,interpretation_boundary
13,13_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,83.17,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,2,1,9,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
14,14_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,28.00,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,7,1,10,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
15,15_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,100.00,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,1,0,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
16,16_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,21.10,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,16,1,31,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
20,20_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,100.00,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,1,0,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
23,23_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,100.00,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,1,0,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
28,28_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,34.20,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,9,1,13,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
29,29_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,100.00,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,1,0,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
3,3_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,51.50,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_ROUTE_ISSUE_BURDEN,5,1,7,LIMITED_PROXY_CANDIDATE_FOR_ROUTE_FOLLOWING_STABILITY,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
30,30_1,RADAR_BASELINE_ACTIVITY,route_following_stability,路線跟隨穩定性,MISSING_EVIDENCE_ANNOTATION,LIMITED_PROXY_AXIS,False,True,,100.00,0_100_limited_proxy,Apply route-following axis contract v1_1 limited proxy admission to data table row. Baseline activities with detector evidence receive candidate_proxy_route_following_stability_0_100; extra source activities remain blocked.,outputs\report_figures\ch6_5_5_route_following_stability_proxy_admission_v1_1\route_following_stability_proxy_activity_summary_v1_1.csv,detector_file_found|evidence_state|route_issue_event_count|candidate_proxy_route_following_stability_0_100|terminal_event_rows|non_terminal_event_rows,DETECTOR_COVERED_NO_ROUTE_ISSUE,0,1,0,LIMITED_PROXY_CANDIDATE_NO_NON_TERMINAL_ROUTE_ISSUE_DETECTED,ADMIT_AS_LIMITED_PROXY_AXIS_CANDIDATE_REQUIRES_CONTRACT_PATCH,"Route-following stability is represented in data table v1_1 as a governed limited proxy only. It is not an ability score, ability rank, ability class, THCI score, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality claim."
