activity_id_short,study_population_status,activity_consumption_status,horizontal_consumable_window_count,vertical_consumable_window_count,hr_context_consumable_window_count,route_continuity_blocked_window_count,positive_delta_artifact_blocked_window_count,source_horizontal_300s_valid_window_count,source_vertical_300s_valid_window_count,source_horizontal_300s_route_speed_p90_mps,source_vertical_300s_gain_p90_m,source_vertical_300s_vam_p90_mph,allowed_downstream_use,disallowed_downstream_use,interpretation_boundary
6_1,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,EXTRA_SOURCE_ACTIVITY_REVIEW_ONLY_NOT_CONSUMABLE,0,0,0,0,0,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,160,8,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,150,13,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,141,3,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,243,6,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,194,3,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,3,1,4,261,2,3,1,1.858,10.37,124.43999999999998,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,185,6,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,2,0,2,145,3,2,0,1.855,,,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,0,21,18,155,3,0,21,,22.565999999999995,271.6976588628762,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,119,12,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
35_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,0,1,1,151,8,0,1,,11.727,140.724,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
36_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,1,0,1,174,3,1,0,1.6866666666666668,,,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
37_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,0,4,4,221,3,0,4,,15.610600000000002,187.3272,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
38_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,0,17,17,220,0,0,17,,22.5098,271.6930909090909,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
3_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,167,11,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
40_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,159,11,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
41_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,157,4,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
42_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,3,0,3,230,11,3,0,1.868,,,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
43_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,4,1,5,250,5,4,1,1.963666666666667,10.756000000000002,129.07200000000003,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
44_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,175,5,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
45_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,154,10,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
46_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,246,5,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
48_1,RADAR_BASELINE_ACTIVITY,CONSUMABLE_DESCRIPTIVE_300S_EVIDENCE_AVAILABLE,1,0,1,244,4,1,0,1.9466666666666668,,,descriptive_supporting_evidence_only,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
8_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,175,6,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
9_1,RADAR_BASELINE_ACTIVITY,NO_CONSUMABLE_300S_MOVEMENT_EVIDENCE,0,0,0,182,14,0,0,,,,not_consumed,standalone_radar_axis_score_rank_or_class,"CH6.5.5 300s movement QA gate consumption v1 is a downstream consumption gate layer only. It consumes admission-review results and marks which 300s movement evidence rows may be referenced as descriptive supporting evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
