policy_section,field_name,allowed_value,score_hint,description,downstream_use,notes
concept,elevation_confidence,,,"Station elevation evidence confidence from NLSC contour lookup.","Use as terrain/elevation evidence quality flag.","This is not weather representativeness."
concept,observation_quality,,,"Freshness, update interval, variable coverage, and source reliability of station observations.","Use to decide whether station can act as monitoring station.","Missing observation must not be treated as normal."
concept,route_weather_relevance,,,"How useful the station is for estimating route-local weather context.","Use for future weather context weighting.","Separate from elevation confidence."
concept,station_weather_role,,,"Functional role of station in weather monitoring network.","Use for future local weather context fusion.","A station can be useful as contrast/background even if not route-near."
station_weather_role,station_weather_role,ROUTE_NEAR,high,"Station is close to route and may directly represent local route conditions.","Candidate primary local weather station.","Requires distance/elevation/terrain checks."
station_weather_role,station_weather_role,TERRAIN_SIMILAR,high,"Station is not necessarily closest but has similar elevation band or terrain setting.","Candidate terrain-analog station.","May be useful for ridge/slope/valley microclimate inference."
station_weather_role,station_weather_role,UPWIND_MONITOR,medium_high,"Station is upwind relative to current or typical wind direction and can monitor incoming weather.","Use for early warning of incoming rain, wind, humidity, or cloud changes.","Requires wind direction or synoptic context."
station_weather_role,station_weather_role,BASIN_CONTRAST,medium,"Station represents Taipei basin or lower-elevation contrast conditions.","Use as background/contrast station, not direct mountain representative.","High observation quality can still be useful."
station_weather_role,station_weather_role,REGIONAL_BACKGROUND,medium,"Station describes broader regional atmospheric state.","Use as background field.","Not route-local by itself."
station_weather_role,station_weather_role,LOW_RELEVANCE_REVIEW,low,"Station has weak route/weather relevance or unresolved quality concern.","Keep for audit but downweight or exclude from primary fusion.","Do not treat as primary route context."
scoring_dimension,distance_to_route_m,,,"Horizontal distance between station and route or nearest route projection.","Route relevance scoring.","Nearer is not always better, but far stations need explicit role."
scoring_dimension,elevation_delta_m,,,"Absolute elevation difference between station and nearest route point or relevant route segment.","Route relevance and terrain similarity scoring.","Important for temperature, humidity, cloud, and wind interpretation."
scoring_dimension,observation_age_min,,,"Age of most recent observation relative to target activity/window time.","Observation quality scoring.","Old observations should be MISSING/STALE, not normal."
scoring_dimension,observation_update_interval_min,,,"Nominal or observed update frequency of station data.","Monitoring station quality scoring.","Higher-frequency stations can serve as monitoring nodes."
scoring_dimension,variable_coverage_pressure,,,"Whether pressure observation exists and is timely.","Observation quality and trend analysis.","Pressure trend can indicate weather system changes."
scoring_dimension,variable_coverage_temperature,,,"Whether temperature observation exists and is timely.","Observation quality and local temperature estimation.","Elevation correction may be applied in future, not in this branch."
scoring_dimension,variable_coverage_humidity,,,"Whether relative humidity observation exists and is timely.","Observation quality and fog/cloud/rain sensitivity.","High humidity near ridge/upslope terrain is weather-sensitive."
scoring_dimension,variable_coverage_wind,,,"Whether wind speed and wind direction exist and are timely.","Observation quality and upwind/terrain exposure analysis.","Wind direction is needed for upwind role."
scoring_dimension,variable_coverage_rainfall,,,"Whether rainfall observation exists and is timely.","Observation quality and rain trend analysis.","Missing rainfall does not equal 0 mm."
scoring_dimension,variable_coverage_cloud_visibility,,,"Whether cloud, visibility, or present-weather proxy exists.","Observation quality and mountain visibility analysis.","May require source-specific fields."
scoring_dimension,terrain_similarity,,,"Similarity between station terrain setting and route terrain segment using NLSC/IB1E evidence.","Route weather relevance scoring.","Future work may include elevation band, slope, aspect, ridge/valley classification."
scoring_dimension,upwind_relevance,,,"Whether station lies in incoming weather direction relative to route.","Monitoring role scoring.","Depends on wind direction and weather system movement."
scoring_dimension,basin_mountain_contrast,,,"Whether station is useful for contrast between basin and mountain conditions.","Contrast/background role scoring.","Useful even when not route-near."
status,station_weather_role_status,ROLE_ASSIGNED,,"Station has an assigned weather monitoring role.","Use in future fusion readiness.","Policy assignment only."
status,station_weather_role_status,ROLE_REVIEW_REQUIRED,,"Station role cannot be trusted without review.","Keep but do not use as primary context.","Review may be caused by distance, elevation delta, missing observations, or unclear terrain role."
status,station_weather_role_status,ROLE_NOT_APPLICABLE,,"Station is not suitable for this route/weather context.","Exclude from primary route-local weather fusion.","Still may remain in audit output."
guardrail,missing_weather_policy,NO_ZERO_FALLBACK,,"Missing weather/hydro observation must not be imputed as normal or zero.","Global IB3W guardrail.","0 mm only when trusted source explicitly reports zero rainfall."
guardrail,risk_adjustment_policy,NO_RISK_ADJUSTMENT_IN_POLICY_BRANCH,,"This branch does not adjust route risk, radar, THCI, or time model.","Branch boundary.","Policy/schema only."
guardrail,color_semantics_policy,DO_NOT_USE_ELEVATION_COLOR_AS_ROUTE_RELEVANCE,,"Map colors for elevation confidence must not be interpreted as route-local weather representativeness.","Visualization interpretation.","Future maps should separate elevation confidence from weather-role relevance."
