activity_id_short,participant_id,png_file,mean_available_axis_index_0_100,supported_axis_count,limited_proxy_axis_count,insufficient_evidence_axis_count,radar_readiness_label,activity_history_primary_label,numeric_attribution_label_v0_5,suggested_report_case_role,interpretation_boundary
43_1,43,radar_preview_activity_43_1_v0_2.png,12.133,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
42_1,42,radar_preview_activity_42_1_v0_2.png,15.067,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
48_1,48,radar_preview_activity_48_1_v0_2.png,15.667,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
46_1,46,radar_preview_activity_46_1_v0_2.png,23.067,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
9_1,9,radar_preview_activity_9_1_v0_2.png,33.533,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
16_1,16,radar_preview_activity_16_1_v0_2.png,36.933,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_BEHAVIOR_NUMERIC_TRIGGER_CONFIRMED,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
37_1,37,radar_preview_activity_37_1_v0_2.png,39.2,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
13_1,13,radar_preview_activity_13_1_v0_2.png,39.333,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
38_1,38,radar_preview_activity_38_1_v0_2.png,40.8,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
23_1,23,radar_preview_activity_23_1_v0_2.png,40.933,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
