evidence_id,evidence_found,evidence_path,row_count,column_count,columns,interpretation_boundary
radar_baseline_axis_table_v1_terrain_axis,True,outputs\script_inputs\ch6_5_5_radar_v1_axis_refinement_input_pack_v1\radar_baseline\personal_activity_performance_radar_report_safe_axis_table_v1_terrain_axis.csv,175,21,activity_id_short|participant_id|axis_id|axis_label_zh|axis_group_relative_index_0_100|axis_support_status|axis_component_metrics|axis_description|activity_history_primary_label|activity_history_evidence_tier|numeric_attribution_label_v0_5|suggested_report_case_role|numeric_attention_flag_count|movement_degradation_flag_count|numeric_attention_flags|hr_median_zone_sex_age_est|tertiary_profile_context_signal|interpretation_boundary|axis_source|terrain_movement_context_label|axis_admission_decision,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
pacing_movement_stability_axis_v1,True,outputs\report_figures\ch6_5_5_pacing_movement_stability_axis_v1\pacing_movement_stability_axis_v1.csv,25,13,activity_id_short|axis_id|axis_label_zh|axis_group_relative_index_0_100|axis_support_status|component_available_count|component_total_count|component_missing_ids|axis_component_formula|axis_component_weights|axis_direction|axis_source|interpretation_boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
pacing_movement_stability_axis_admission_audit,True,outputs\report_figures\ch6_5_5_pacing_movement_stability_axis_admission_audit_v1\pacing_movement_stability_axis_admission_audit_v1.csv,1,14,axis_id|axis_label_zh|axis_admission_decision|recommended_replacement_axis_id|recommended_replacement_axis_label_zh|radar_update_recommendation|gate_pass_count|gate_count|failed_gate_ids|axis_root|output_root|observed_activity_rows|supported_axis_rows|boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
terrain_movement_efficiency_axis_admission,True,outputs\report_figures\ch6_5_6_terrain_movement_efficiency_axis_admission_audit_v1_2\terrain_movement_efficiency_axis_admission_audit_v1_2.csv,1,29,evidence_root|upstream_route_load_root|output_root|source_input_path|source_inventory|ch6_5_6_audit_conclusion|gate_count|gate_pass_count|gate_fail_count|failed_gate_ids|activity_rows|axis_update_rows|context_group_rows|lower_context_review_activity_ids|higher_context_activity_ids|recommended_axis_id|recommended_axis_label_zh|axis_admission_decision|radar_update_recommendation|zero_fill_used|ability_score_generated|ability_rank_generated|ability_class_generated|radar_score_generated|route_suitability_score_generated|go_no_go_generated|medical_diagnosis_generated|causality_claim_generated|interpretation_boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
personal_profile_metadata_join,True,outputs\report_figures\ch6_5_5_personal_profile_metadata_join_v0_2\personal_profile_metadata_join_v0_2.csv,25,27,activity_id_short|participant_id|metadata_join_status|age_yrs|sex_code|bmi|estimated_vo2max_ml_kg_min|vo2max_context_tier|qixing_difficulty_scale|qixing_self_report_difficulty_tier|heart_rate_bpm_median_avg|sex_age_est_hrmax_bpm|sex_age_est_hrmax_formula|hr_median_pct_sex_age_est_hrmax|hr_median_zone_sex_age_est|behavior_degradation_proxy_present|hr_output_efficiency_context|personal_route_load_match_review_level|personal_route_load_match_review_flags|speed_mps_median_median|low_speed_ratio_avg|stopped_ratio_avg|uphill_high_route_load_ratio|route_load_behavior_candidate_window_ratio|behavior_weather_context_review_required_ratio|route_load_strain_context_label|interpretation_boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
route_load_match_review,True,outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv,26,98,activity_id_short|readiness_review_gate|readiness_review_flags|readiness_interpretation_zh|completion_time_min|completion_group|heart_rate_available|heart_rate_bpm_median_all|activity_relative_high_hr_window_ratio|high_or_very_high_load_hr_median|high_or_very_high_load_high_hr_window_ratio|early_checkpoint_hr_median|early_checkpoint_high_hr_window_ratio|hr_effort_interpretation_flags|hr_median_bpm|hr_p75_bpm|hr_p90_bpm|high_load_hr_median|early_hr_median|middle_hr_median|late_hr_median|hr_drift_late_minus_early_bpm|data_quality_flags|event_count_total|route_core_event_count|route_core_facility_rest_event_count|confirmed_hr_recovery_count|high_hr_pause_without_recovery_count|pause_without_hr_drop_count|possible_recovery_count|strong_recovery_event_count|no_clear_recovery_event_count|hr_drop_bpm_median|hr_drop_bpm_max|hr_recovery_slope_bpm_per_min_median|estimated_recovery_score_median|dominant_recovery_strength_class|dominant_semantic_recovery_interpretation|route_core_recovery_status|planning_window_count|planning_high_route_load_window_count|planning_high_route_load_window_ratio|planning_conservative_window_count|planning_conservative_window_ratio|planning_review_window_count|planning_review_window_ratio|dominant_planning_caution_level|weather_humid_context_present|weather_wind_context_present|weather_high_uv_context_present|weather_rain_context_present|temperature_c_median|relative_humidity_pct_median|precipitation_mm_max|wind_gust_ms_max|uv_index_max|route_load_window_count|route_load_high_window_count|route_load_high_window_ratio|route_load_index_median|route_load_index_p75|route_load_high_hr_median|route_load_low_speed_ratio_median|route_load_stopped_ratio_median|boundary|index|off_route_rest_count|terminal_artifact_count|mean_speed_mps_median|on_route_ratio_median|boundary_x|duration_sec|point_count|hr_available_count|hr_coverage_ratio|hr_min_bpm|hr_max_bpm|hr_range_bpm|speed_mps_median|high_load_speed_mps_median,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
weather_behavior_context,True,outputs\report_figures\ch6_report_figures_v1_2\ch6_4_weather_context_summary_v1_2.csv,9,3,類別|數值|說明,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
movement_300s_admission_review,True,outputs\report_figures\ch6_5_5_300s_movement_evidence_admission_review_v1\movement_300s_admission_axis_decision_v1.csv,7,11,review_item|review_type|baseline_activity_count|covered_baseline_activity_count|coverage_ratio|valid_window_count|admission_status|primary_reason|allowed_use|disallowed_use|interpretation_boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
movement_300s_qa_gate_consumption,True,outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv,6,11,policy_item|policy_type|source_review_item|consumption_rule|allowed_downstream_use|disallowed_downstream_use|source_admission_status|source_allowed_use|source_disallowed_use|policy_status|interpretation_boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
movement_300s_consumption_integration_review,True,outputs\report_figures\ch6_5_5_300s_movement_consumption_integration_review_v1\movement_300s_integration_audit_v1.csv,1,20,consumption_audit_conclusion|scanned_script_count|self_component_script_count|scripts_referencing_300s_movement_evidence_count|scripts_referencing_consumption_gate_policy_count|consumption_gate_gap_count|gap_review_row_count|zero_fill_used|forbidden_score_rank_class_fields_present|forbidden_fields|radar_scoring_absent|ability_scoring_absent|ranking_absent|class_label_absent|decision_label_absent|diagnosis_absent|causal_claim_absent|audit_conclusion|review_reasons|interpretation_boundary,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
