rule_id,rule_layer,rule_name,input_feature,operator,threshold_or_condition,rule_action,severity,scoring_allowed_in_this_branch,future_model_role,notes
V0R001,DATA_QUALITY_GATE,Require matched join,join_status,EQUALS,MATCHED,Otherwise mark REVIEW_ONLY,HIGH,False,Usable activity gate,Equivalent status requires explicit contract review
V0R002,DATA_QUALITY_GATE,Require ready smoke gate,candidate_data_quality_gate,READY_TYPE,READY_FOR_DESCRIPTIVE_MODEL_SMOKE,Otherwise mark REVIEW_ONLY,HIGH,False,Usable activity gate,Ready describes usability and not ability
V0R003,DATA_QUALITY_GATE,Review low analytics coverage,backend_use_analytics_ready_ratio,BELOW,Future reviewed minimum,Mark REVIEW_ONLY,HIGH,False,Usable activity gate,Smoke value 0.5 is not automatically a production threshold
V0R004,DATA_QUALITY_GATE,Review high calibration burden,calibration_review_required_ratio,ABOVE,Future reviewed maximum,Mark REVIEW_ONLY,HIGH,False,Usable activity gate,Threshold must be separately approved
V0R005,DATA_QUALITY_GATE,Review high movement burden,movement_review_required_ratio,ABOVE,Future reviewed maximum,Mark REVIEW_ONLY,HIGH,False,Usable activity gate,Threshold must be separately approved
V0R006,DATA_QUALITY_GATE,Require positive route distance,route_dist_covered_m,GREATER_THAN,0,Otherwise EXCLUDE_FROM_ABILITY_ESTIMATE,HIGH,False,Usable activity gate,Missing distance remains missing
V0R007,DATA_QUALITY_GATE,Require positive duration,duration_min,GREATER_THAN,0,Otherwise EXCLUDE_FROM_ABILITY_ESTIMATE,HIGH,False,Usable activity gate,Missing duration remains missing
V0R008,COMPARABLE_ACTIVITY_SET,Require comparable route family,route_family,EQUIVALENT_UNDER_REVIEWED_CONTRACT,Same route or documented route family,Otherwise use separate group,HIGH,False,Comparable group construction,Route family field is a future derived contract
V0R009,COMPARABLE_ACTIVITY_SET,Require similar endpoints,start_end_condition,WITHIN_REVIEWED_TOLERANCE,Similar start and end conditions,Otherwise use separate group,MEDIUM,False,Comparable group construction,Endpoint tolerance remains to be designed
V0R010,COMPARABLE_ACTIVITY_SET,Require similar route demand,route_distance_elevation_terrain,WITHIN_REVIEWED_TOLERANCE,Comparable distance elevation and terrain demand,Otherwise use separate group,HIGH,False,Comparable group construction,Each tolerance must be explicit and auditable
V0R011,COMPARABLE_ACTIVITY_SET,Separate cross-route activities,cross_route_indicator,EQUALS,True,Assign separate comparable_group_id,HIGH,False,Cross-route grouping,Xiaoyoukeng route forms must not enter full26 baseline directly
V0R012,ROUTE_NORMALIZED_PERFORMANCE,Retain duration per kilometer,candidate_duration_min_per_km,DESCRIPTIVE_ONLY,Present when denominator is valid,Include as candidate indicator,INFO,False,Route-normalized summary,Lower is not automatically better ability
V0R013,ROUTE_NORMALIZED_PERFORMANCE,Retain speed and gain indicators,candidate_median_speed_kmh|candidate_gain_m_per_km|candidate_duration_min_per_100m_gain|candidate_gain_rate_m_per_hour,DESCRIPTIVE_ONLY,Present when source values and denominators are valid,Include as candidate indicators,INFO,False,Route-normalized summary,Candidate metrics are not scores
V0R014,ROUTE_NORMALIZED_PERFORMANCE,Retain effort and movement context,heart_rate_bpm_median|moving_sec|stopped_sec,CONTEXT_ONLY,Preserve available evidence,Attach context without scoring,INFO,False,Performance interpretation,Missing heart rate must not be synthesized
V0R015,WEATHER_CONTEXT_INTERPRETATION,Preserve missing weather,observed_variable_count|unavailable_variable_count,CONTEXT_INCOMPLETE,Any required weather context is unavailable,Mark CONTEXT_INCOMPLETE and do not zero fill,MEDIUM,False,Weather coverage,Context incompleteness does not imply good conditions
V0R016,WEATHER_CONTEXT_INTERPRETATION,Humidity flag is context,high_humidity_observed,CONTEXT_FLAG,True,Annotate context only,INFO,False,Weather stratification,No direct penalty
V0R017,WEATHER_CONTEXT_INTERPRETATION,Rain flag is context,rain_observed,CONTEXT_FLAG,True,Annotate context only,INFO,False,Weather stratification,No direct penalty
V0R018,WEATHER_CONTEXT_INTERPRETATION,Wind gust flag is context,wind_gust_observed,CONTEXT_FLAG,True,Annotate context only,INFO,False,Weather stratification,No direct penalty
V0R019,WEATHER_CONTEXT_INTERPRETATION,High UV flag is context,uv_index,GREATER_THAN_OR_EQUAL,6,Annotate context only,INFO,False,Weather stratification,Prototype context threshold and no direct penalty
V0R020,WEATHER_CONTEXT_INTERPRETATION,Require evidence before weather adjustment,weather_context_sample_support,SUFFICIENT_UNDER_REVIEWED_RULE,Comparable repeated observations,Otherwise prohibit adjustment,HIGH,False,Future weather adjustment,Adjustment needs sample support and uncertainty review
V0R021,ABILITY_ESTIMATE_OUTPUT_BOUNDARY,Prohibit ability score,ability_score_generated,EQUALS,False,Do not generate ability score,CRITICAL,False,Output authorization boundary,This branch is design only
V0R022,ABILITY_ESTIMATE_OUTPUT_BOUNDARY,Prohibit ability ranking,ability_rank_generated,EQUALS,False,Do not generate ability rank,CRITICAL,False,Output authorization boundary,This branch is design only
V0R023,ABILITY_ESTIMATE_OUTPUT_BOUNDARY,Prohibit risk scoring,thci_scoring_authorized|radar_scoring_authorized|final_hiking_risk_scoring_authorized,ALL_EQUAL,False,Do not compute or authorize risk scores,CRITICAL,False,Output authorization boundary,THCI radar and final risk remain outside this model design
