"mapping_id","source_domain","source_layer","source_key","source_value","normalized_class","primary_axis","secondary_axis","effect_direction","base_weight","base_score","confidence","aggregation_hint","double_count_guard","review_status","version","note"
"route_profile_distance_physical_v1","route_profile","distance","dist_m","*","route_distance","physical_difficulty_score","","increase","0.35","0.5","high","normalized_total","距離只進體力難度，不直接進迷航風險或支援不易","draft_accepted","v1.0","總距離越長，體力負荷越高；正式分數應由固定 threshold 正規化"
"route_profile_cum_gain_physical_v1","route_profile","elevation","cum_gain_m","*","cumulative_gain","physical_difficulty_score","","increase","0.35","0.6","high","normalized_total","累積爬升只進體力難度；若為技術性陡坡另由 technical feature 表示","draft_accepted","v1.0","累積爬升是體力難度核心因子"
"route_profile_steep_slope_physical_v1","route_profile","slope","slope_pct","steep_or_above","steep_slope_load","physical_difficulty_score","technical_difficulty_score","increase","0.2","0.65","medium","p95|length_ratio","坡度作為體力負荷；若涉及踩點或通過困難才少量進技術難度","draft_accepted","v1.0","長陡坡比例與 p95 坡度可作為體力負荷指標"
"osm_highway_steps_technical_v1","osm","highway","highway","steps","stairs","technical_difficulty_score","physical_difficulty_score","increase","0.6","0.55","high","length_weighted_mean|presence","階梯本身進技術難度；長段連續爬升階梯才增加體力難度","draft_accepted","v1.0","階梯增加步伐控制與膝負荷，但不等於高危害"
"osm_surface_unpaved_technical_v1","osm","surface","surface","ground|dirt|earth|gravel|unpaved","unpaved_surface","technical_difficulty_score","weather_impact_score","increase","0.45","0.45","medium","length_weighted_mean","未鋪面平時進技術難度；雨後放大效果由天候影響處理","draft_accepted","v1.0","未鋪面路徑增加踩踏與通過不確定性"
"osm_sac_scale_technical_v1","osm","sac_scale","sac_scale","*","mountain_trail_difficulty","technical_difficulty_score","baseline_hazard_score","increase","0.7","0.65","medium","max|p95","sac_scale 主要代表技術通過要求；若明確涉及暴露或危險才進基礎危害","draft_accepted","v1.0","依 OSM 完整性需後續 QA"
"osm_natural_cliff_hazard_v1","osm","natural","natural","cliff","cliff_exposure","baseline_hazard_score","weather_impact_score","increase","0.9","0.9","high","max|length_ratio","崖邊固有危害進基礎危害；強風雨霧放大另進天候影響","draft_accepted","v1.0","滑落後果嚴重，屬高固有危害"
"terrain_landslide_hazard_v1","terrain","geology","landslide_or_debris_flow","*","landslide_debris_flow_potential","baseline_hazard_score","weather_impact_score","increase","0.85","0.85","medium","max|presence","土石流或崩塌潛勢是基礎危害；豪雨觸發效果由天候影響放大","draft_accepted","v1.0","需接地質或土石流潛勢資料來源"
"terrain_dip_slope_hazard_v1","terrain","geology","dip_slope","*","dip_slope_instability","baseline_hazard_score","weather_impact_score","increase","0.8","0.8","medium","presence|max","順向坡本身為地質固有危害；雨後滑動放大歸天候影響","draft_accepted","v1.0","需後續確認是否有可用地質資料圖層"
"osm_trail_visibility_navigation_v1","osm","trail_visibility","trail_visibility","bad|horrible|no","poor_path_visibility","navigation_risk_score","technical_difficulty_score","increase","0.75","0.75","medium","length_weighted_mean|max","路徑可視度差主要進迷航風險；若造成踩踏困難才少量進技術難度","draft_accepted","v1.0","OSM trail_visibility 完整性需 QA"
"route_junction_density_navigation_v1","route_profile","network","junction_density","*","route_choice_complexity","navigation_risk_score","","increase","0.65","0.6","medium","normalized_density","岔路密度只代表路徑選擇複雜度，不直接代表體力或技術難度","draft_accepted","v1.0","需後續由 route-axis 或 OSM graph 特徵產生"
"terrain_return_difficulty_navigation_v1","terrain","terrain_context","return_difficulty","*","wrong_turn_return_difficulty","navigation_risk_score","support_difficulty_score","increase","0.8","0.8","medium","max|presence","走錯後高低差大或無路可接回主要進迷航風險；救援撤退困難可少量進支援不易","draft_accepted","v1.0","描述走錯路後回到正確路線的困難度"
"osm_shelter_support_decrease_v1","osm","amenity|tourism","shelter","*","shelter_available","support_difficulty_score","","decrease","0.5","-0.4","medium","presence|nearest_distance","shelter 是支援項，會降低支援不易，不應增加風險","draft_accepted","v1.0","支援越多，support difficulty 越低"
"support_road_access_difficulty_v1","support","access","road_access_distance","*","poor_road_access","support_difficulty_score","","increase","0.75","0.75","medium","normalized_distance|max","道路接近性差只進支援不易，不直接進體力難度","draft_accepted","v1.0","撤退與救援介入困難核心因子"
"support_gps_signal_blocked_v1","support","positioning","gps_blockage_or_drift","*","positioning_difficulty","support_difficulty_score","navigation_risk_score","increase","0.6","0.65","low","presence|terrain_proxy","GPS 遮蔽主要影響定位與求援；若造成路徑判斷錯誤才進迷航風險","needs_review","v1.0","目前可能需由峽谷、林蔭或實測軌跡飄移 proxy 推估"
"surface_mud_weather_impact_v1","osm","surface","surface","mud|ground|earth|dirt","weather_sensitive_slippery_surface","weather_impact_score","technical_difficulty_score","increase","0.7","0.7","medium","length_weighted_mean","泥土路平時是技術難度；雨後濕滑放大才進天候影響","draft_accepted","v1.0","描述路線對雨後濕滑的敏感度，不代表當日是否下雨"
"hydrology_crossing_weather_impact_v1","hydrology","waterway|crossing","water_crossing","*","water_crossing_weather_sensitive","weather_impact_score","baseline_hazard_score","increase","0.85","0.85","medium","max|presence","涉水點平時可為技術或基礎危害；雨勢過大時風險放大歸天候影響","draft_accepted","v1.0","山區橋梁、涉水點、水文周邊遇豪雨時風險升高"
"ridge_exposure_weather_impact_v1","terrain","exposure","exposed_ridge","*","wind_fog_exposed_ridge","weather_impact_score","baseline_hazard_score","increase","0.75","0.75","medium","length_ratio|max","裸露稜線固有危害歸基礎危害；強風、低能見度與失溫放大歸天候影響","draft_accepted","v1.0","天候影響描述天氣惡化時的放大效果"
