feature_name,source_layer,source_file,source_column,feature_group,feature_role,expected_type,unit,nullable_allowed,missing_policy,direction_hint,future_model_use,scoring_allowed_in_this_branch,notes
duration_min,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,duration_min,Activity performance,Observed activity completion duration,float,minute,False,Exclude activity if absent; do not impute zero,Context dependent; lower is not automatically better,Route-normalized completion time,False,Interpret only with route demand and quality gates
route_dist_covered_m,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,route_dist_covered_m,Activity performance,Observed route distance completed,float,meter,False,Exclude activity if absent; do not impute zero,More distance is not automatically better,Completion coverage and performance denominator,False,Also referenced as route demand context without duplicate scoring
calibrated_speed_mps_median,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,calibrated_speed_mps_median,Activity performance,Median calibrated movement speed,float,meter_per_second,True,Keep missing and mark activity unusable for speed analysis,Context dependent; higher is not automatically better,Route-normalized moving speed,False,Requires calibration and movement-quality review
moving_sec,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,moving_sec,Activity performance,Observed moving duration,float,second,True,Keep missing; do not infer from total duration,Descriptive only,Moving-time decomposition,False,Movement-state quality must be reviewed
stopped_sec,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,stopped_sec,Activity performance,Observed stopped duration,float,second,True,Keep missing; do not infer zero,Descriptive only,Stop-pattern context,False,Do not treat stops as automatic underperformance
heart_rate_available,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,heart_rate_available,Activity performance,Heart-rate evidence availability,boolean,boolean,False,False means unavailable; never synthesize values,None; availability gate only,Heart-rate feature gate,False,Does not indicate effort magnitude
heart_rate_bpm_median,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,heart_rate_bpm_median,Activity performance,Median observed heart rate,float,bpm,True,Keep missing when heart_rate_available is False,Context dependent; higher is not automatically worse,Heart-rate-aware effort context,False,Requires individual and sensor context
heart_rate_bpm_p75,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,heart_rate_bpm_p75,Activity performance,75th percentile observed heart rate,float,bpm,True,Keep missing when heart_rate_available is False,Context dependent,Heart-rate effort distribution,False,Do not compare across individuals without calibration
heart_rate_bpm_p90,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,heart_rate_bpm_p90,Activity performance,90th percentile observed heart rate,float,bpm,True,Keep missing when heart_rate_available is False,Context dependent,High-effort context,False,Not a risk threshold in this contract
calibrated_cumulative_gain_m,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,calibrated_cumulative_gain_m,Activity performance,Calibrated cumulative elevation gain,float,meter,True,Keep missing; do not impute zero,Higher indicates more climb exposure but not ability,Climb-adjusted performance,False,Calibration provenance must remain available
calibrated_cumulative_loss_m,activity_performance,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,calibrated_cumulative_loss_m,Activity performance,Calibrated cumulative elevation loss,float,meter,True,Keep missing; do not impute zero,Higher indicates more descent exposure but not ability,Descent context,False,Calibration provenance must remain available
terrain_slope_pct_median,route_terrain_demand,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,terrain_slope_pct_median,Route / terrain context,Median terrain slope demand,float,percent,True,Keep missing and mark terrain context incomplete,Higher usually indicates steeper demand,Route-demand stratification,False,Not a standalone difficulty score
