activity_id_short,activity_id_full,completion_time_sec,completion_time_min,completion_time_source_column,completion_status,route_coverage_or_window_count,data_quality_flags,completion_review_boundary,completion_group
33_1,qixing_lengshuikeng_33_1,6562.0,109.3667,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
15_1,qixing_lengshuikeng_15_1,6955.0,115.9167,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
44_1,qixing_lengshuikeng_44_1,6992.0,116.5333,activity_performance_summary.duration_sec,COMPLETED,80,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
41_1,qixing_lengshuikeng_41_1,7053.0,117.55,activity_performance_summary.duration_sec,COMPLETED,83,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
14_1,qixing_lengshuikeng_14_1,7180.0,119.6667,activity_performance_summary.duration_sec,COMPLETED,84,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
45_1,qixing_lengshuikeng_45_1,7210.0,120.1667,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
35_1,qixing_lengshuikeng_35_1,7549.0,125.8167,activity_performance_summary.duration_sec,COMPLETED,84,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
29_1,qixing_lengshuikeng_29_1,7608.0,126.8,activity_performance_summary.duration_sec,COMPLETED,84,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
30_1,qixing_lengshuikeng_30_1,7610.0,126.8333,activity_performance_summary.duration_sec,COMPLETED,82,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",fast
40_1,qixing_lengshuikeng_40_1,7691.0,128.1833,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
3_1,qixing_lengshuikeng_3_1,7858.0,130.9667,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
36_1,qixing_lengshuikeng_36_1,8000.0,133.3333,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
13_1,qixing_lengshuikeng_13_1,8301.0,138.35,activity_performance_summary.duration_sec,COMPLETED,80,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
8_1,qixing_lengshuikeng_8_1,8413.0,140.2167,activity_performance_summary.duration_sec,COMPLETED,84,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
28_1,qixing_lengshuikeng_28_1,8621.0,143.6833,activity_performance_summary.duration_sec,COMPLETED,84,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
9_1,qixing_lengshuikeng_9_1,8642.0,144.0333,activity_performance_summary.duration_sec,COMPLETED,81,COMPLETION_TIME_AVAILABLE,"Descriptive completion feasibility review only. Completion time, group, route-load, behavior-response, weather, and event evidence are descriptive context. This output is not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment.",middle
