activity_id_short,windows_n,lower_load_windows_n,moderate_load_windows_n,high_load_windows_n,very_high_load_windows_n,candidate_windows_n,max_route_load_context_index_0_100,median_route_load_context_index_0_100,high_or_very_high_load_ratio,candidate_window_ratio,summary_boundary
13_1,80,19,15,19,27,38,100.0,69.205,0.575,0.475,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
14_1,84,25,13,18,28,28,100.0,64.113,0.547619,0.333333,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
15_1,81,22,12,20,27,35,100.0,68.812,0.580247,0.432099,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
16_1,83,25,13,18,27,41,100.0,65.48,0.542169,0.493976,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
20_1,79,22,14,15,28,38,100.0,68.044,0.544304,0.481013,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
23_1,83,22,16,16,29,44,100.0,63.96,0.542169,0.53012,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
28_1,84,23,17,16,28,40,100.0,66.374,0.52381,0.47619,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
29_1,84,26,10,20,28,39,100.0,68.698,0.571429,0.464286,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
30_1,82,22,13,19,28,39,100.0,68.059,0.573171,0.47561,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
33_1,81,22,13,19,27,27,100.0,68.812,0.567901,0.333333,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
35_1,84,23,13,21,27,36,100.0,66.927,0.571429,0.428571,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
36_1,81,19,20,15,27,36,100.0,67.44,0.518519,0.444444,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
37_1,80,20,15,18,27,37,100.0,68.344,0.5625,0.4625,"Descriptive route-load context evidence only. The index uses route, terrain, and map-derived factors only; behavior response and weather context are descriptive overlays and are not used to compute the index. No ability score, rank, class, THCI score, radar score, or final hiking risk score is generated."
