axis_id,axis_label_zh,axis_domain,axis_status,axis_output_mode,evidence_maturity,radar_output_permission,primary_evidence_source,primary_evidence_fields,supporting_evidence_sources,required_consumption_gates,fallback_status,missing_evidence_reason,allowed_use,disallowed_use,interpretation_boundary
endurance_sustained_movement,持續耐力,activity_performance,DESCRIPTIVE_ONLY,DESCRIPTIVE_ANNOTATION,LIMITED_COVERAGE_300S_EVIDENCE,ALLOW_TEXT_ANNOTATION_ONLY,movement_300s_admission_review:outputs\report_figures\ch6_5_5_300s_movement_evidence_admission_review_v1\movement_300s_admission_axis_decision_v1.csv,horizontal_300s_route_speed_p90_mps|horizontal_300s_valid_window_count|admission_status,movement_300s_qa_gate_consumption:outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv | movement_300s_consumption_integration_review:outputs\report_figures\ch6_5_5_300s_movement_consumption_integration_review_v1\movement_300s_integration_audit_v1.csv | personal_profile_metadata_join:outputs\report_figures\ch6_5_5_personal_profile_metadata_join_v0_2\personal_profile_metadata_join_v0_2.csv,baseline_population_gate|route_continuity_300s_gate,RETAIN_AS_DESCRIPTIVE_SUPPORTING_EVIDENCE,Horizontal 300s evidence covers only limited baseline activities; admission review did not admit it as standalone radar axis.,text annotation describing limited sustained-movement evidence,numeric radar axis value|standalone ability ranking|score generation,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
uphill_load_tolerance,上坡負荷承受力,activity_performance,DESCRIPTIVE_ONLY,DESCRIPTIVE_ANNOTATION,LIMITED_COVERAGE_VERTICAL_300S_EVIDENCE,ALLOW_TEXT_ANNOTATION_ONLY,movement_300s_admission_review:outputs\report_figures\ch6_5_5_300s_movement_evidence_admission_review_v1\movement_300s_admission_axis_decision_v1.csv,vertical_300s_vam_p90_mph|vertical_300s_gain_p90_m|vertical_300s_valid_window_count|admission_status,movement_300s_qa_gate_consumption:outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv | hr_lifecycle_recovery_profile:outputs\report_figures\ch6_7_hr_recovery_from_ib3c_events_v1\activity_hr_recovery_activity_summary_from_ib3c_v1.csv | personal_profile_metadata_join:outputs\report_figures\ch6_5_5_personal_profile_metadata_join_v0_2\personal_profile_metadata_join_v0_2.csv,baseline_population_gate|route_continuity_300s_gate|positive_delta_artifact_guard|hr_validity_gate,RETAIN_AS_DESCRIPTIVE_VERTICAL_CONTEXT,Vertical 300s evidence covers limited baseline activities and is not admitted as standalone radar axis.,text annotation describing limited uphill-load evidence,numeric radar axis value|standalone ability ranking|score generation|medical diagnosis,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
terrain_movement_efficiency,地形移動效率,terrain_response,SUPPORTED_LIMITED,LIMITED_PROXY_AXIS,SUPPORTED_TERRAIN_MOVEMENT_EVIDENCE,ALLOW_LIMITED_PROXY_WITH_LABEL,terrain_movement_efficiency_axis_admission:outputs\report_figures\ch6_5_6_terrain_movement_efficiency_axis_admission_audit_v1_2\terrain_movement_efficiency_axis_admission_audit_v1_2.csv | radar_baseline_axis_table_v1_terrain_axis:outputs\script_inputs\ch6_5_5_radar_v1_axis_refinement_input_pack_v1\radar_baseline\personal_activity_performance_radar_report_safe_axis_table_v1_terrain_axis.csv,terrain_movement_efficiency|terrain movement evidence status|axis admission status,route_load_match_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv | movement_300s_qa_gate_consumption:outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv,baseline_population_gate|route_continuity_300s_gate,LIMITED_PROXY_IF_PRIMARY_AXIS_PRESENT,"If terrain movement evidence file is absent, show as insufficient instead of zero.",limited proxy radar axis with clear evidence label,final ability score|rank|class,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
pacing_movement_stability,穩定移動能力,activity_history,SUPPORTED_LIMITED,LIMITED_PROXY_AXIS,SUPPORTED_ACTIVITY_HISTORY,ALLOW_LIMITED_PROXY_WITH_LABEL,pacing_movement_stability_axis_v1:outputs\report_figures\ch6_5_5_pacing_movement_stability_axis_v1\pacing_movement_stability_axis_v1.csv | pacing_movement_stability_axis_admission_audit:outputs\report_figures\ch6_5_5_pacing_movement_stability_axis_admission_audit_v1\pacing_movement_stability_axis_admission_audit_v1.csv,pacing_movement_stability|activity_history_status|axis admission status,movement_300s_qa_gate_consumption:outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv | hr_lifecycle_recovery_profile:outputs\report_figures\ch6_7_hr_recovery_from_ib3c_events_v1\activity_hr_recovery_activity_summary_from_ib3c_v1.csv,baseline_population_gate|route_continuity_300s_gate,LIMITED_PROXY_IF_PRIMARY_AXIS_PRESENT,"If pacing / movement stability evidence is absent, show as insufficient instead of zero.",limited proxy radar axis with activity-history label,final ability score|rank|class,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
hr_load_management_recovery,HR負荷管理與恢復能力,physiological_context,SUPPORTED_LIMITED,DESCRIPTIVE_ANNOTATION,HR_CONTEXT_AVAILABLE_NOT_MEDICAL,ALLOW_TEXT_ANNOTATION_ONLY,hr_lifecycle_recovery_profile:outputs\report_figures\ch6_7_hr_recovery_from_ib3c_events_v1\activity_hr_recovery_activity_summary_from_ib3c_v1.csv,hr_lifecycle|hr_recovery|hr_context|estimated_hrmax_percent,personal_profile_metadata_join:outputs\report_figures\ch6_5_5_personal_profile_metadata_join_v0_2\personal_profile_metadata_join_v0_2.csv | movement_300s_qa_gate_consumption:outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv,baseline_population_gate|hr_validity_gate,TEXT_CONTEXT_ONLY,HR evidence depends on device validity and estimated HRmax; it should not be a medical or standalone ability axis.,load-management annotation and evidence context,medical diagnosis|standalone ability axis|rank|class,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
weather_performance_maintenance,天候條件下表現維持,environment_response,LIMITED_PROXY,DESCRIPTIVE_ANNOTATION,LIMITED_PROXY_ACTIVITY_WEATHER_CONTEXT,ALLOW_TEXT_ANNOTATION_ONLY,weather_behavior_context:outputs\report_figures\ch6_report_figures_v1_2\ch6_4_weather_context_summary_v1_2.csv,weather context|weather adjusted behavior|activity weather context,personal_profile_metadata_join:outputs\report_figures\ch6_5_5_personal_profile_metadata_join_v0_2\personal_profile_metadata_join_v0_2.csv | completion_feasibility_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv,baseline_population_gate|weather_context_gate,LIMITED_PROXY_OR_INSUFFICIENT_IF_WEATHER_CONTEXT_MISSING,Weather evidence remains context / proxy and does not isolate weather tolerance as a personal ability.,weather-context annotation,weather tolerance score|go/no-go decision|risk score,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
route_following_stability,路線跟隨穩定性,navigation_behavior,INSUFFICIENT_EVIDENCE,MISSING_EVIDENCE_ANNOTATION,QA_GATE_AVAILABLE_BUT_NOT_ABILITY_AXIS,SHOW_AS_INSUFFICIENT_EVIDENCE,movement_300s_qa_gate_consumption:outputs\report_figures\ch6_5_5_300s_movement_qa_gate_consumption_v1\movement_300s_consumption_gate_policy_v1.csv,route_continuity_300s_gate,movement_300s_consumption_integration_review:outputs\report_figures\ch6_5_5_300s_movement_consumption_integration_review_v1\movement_300s_integration_audit_v1.csv,baseline_population_gate|route_continuity_300s_gate,INSUFFICIENT_EVIDENCE,"Route continuity is admitted as QA gate only, not as route-following ability evidence.",missing-evidence annotation and QA gate explanation,numeric route-following ability axis|navigation score|rank,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
deviation_correction_ability,偏離修正能力,navigation_behavior,INSUFFICIENT_EVIDENCE,MISSING_EVIDENCE_ANNOTATION,NO_FORMAL_DEVIATION_RECOVERY_FIELD,SHOW_AS_INSUFFICIENT_EVIDENCE,,,route_load_match_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv,baseline_population_gate|route_continuity_300s_gate,INSUFFICIENT_EVIDENCE,"No formal field currently measures deviation, correction latency, backtracking, or rejoin behavior.",missing-evidence annotation,numeric deviation-correction ability axis|navigation score|rank,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
risk_response_experience,風險應對經驗,risk_behavior,INSUFFICIENT_EVIDENCE,MISSING_EVIDENCE_ANNOTATION,NO_FORMAL_RISK_RESPONSE_OUTCOME_FIELD,SHOW_AS_INSUFFICIENT_EVIDENCE,,,route_load_match_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv | completion_feasibility_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv,baseline_population_gate,INSUFFICIENT_EVIDENCE,"Current evidence does not formally observe risk recognition, avoidance, fallback, or decision behavior.",missing-evidence annotation,risk handling score|safety decision|go/no-go decision,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
autonomous_completion_readiness,自主完成能力,completion_behavior,LIMITED_PROXY,DESCRIPTIVE_ANNOTATION,COMPLETION_CONTEXT_AVAILABLE_NOT_SELF_SUFFICIENCY,ALLOW_TEXT_ANNOTATION_ONLY,completion_feasibility_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv,completion feasibility|completion context|route load completion review,route_load_match_review:outputs\report_figures\ch6_8_personal_route_load_readiness_review_v1_1\personal_route_load_readiness_review_v1_1.csv | personal_profile_metadata_join:outputs\report_figures\ch6_5_5_personal_profile_metadata_join_v0_2\personal_profile_metadata_join_v0_2.csv,baseline_population_gate,LIMITED_PROXY_OR_INSUFFICIENT_IF_COMPLETION_CONTEXT_MISSING,"Completion evidence does not prove autonomous navigation, supply, equipment, or team-support independence.",completion-context annotation,self-sufficiency score|route suitability score|go/no-go decision,"CH6.5.5 personal ability radar axis contract v1 is an axis-governance layer only. It defines whether each proposed personal hiking ability axis may appear in a future radar chart and under what evidence / gate conditions. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
