activity_id_short,axis_id,axis_label_zh,axis_group_relative_index_0_100,axis_support_status,component_available_count,component_total_count,component_missing_ids,axis_component_formula,axis_component_weights,axis_direction,axis_source,interpretation_boundary
13_1,pacing_movement_stability,配速／移動穩定性,36.667,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,pacing_movement_stability,配速／移動穩定性,58.958,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,pacing_movement_stability,配速／移動穩定性,67.083,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,pacing_movement_stability,配速／移動穩定性,48.75,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,pacing_movement_stability,配速／移動穩定性,86.667,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,pacing_movement_stability,配速／移動穩定性,85.0,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,pacing_movement_stability,配速／移動穩定性,60.417,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,pacing_movement_stability,配速／移動穩定性,46.042,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,pacing_movement_stability,配速／移動穩定性,55.834,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,pacing_movement_stability,配速／移動穩定性,53.334,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
35_1,pacing_movement_stability,配速／移動穩定性,58.75,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
36_1,pacing_movement_stability,配速／移動穩定性,56.042,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
37_1,pacing_movement_stability,配速／移動穩定性,42.708,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
38_1,pacing_movement_stability,配速／移動穩定性,74.792,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
3_1,pacing_movement_stability,配速／移動穩定性,50.833,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
40_1,pacing_movement_stability,配速／移動穩定性,29.375,SUPPORTED_PACING_MOVEMENT_STABILITY_EVIDENCE,5,5,,weighted average of available higher-is-better component indices; missing components are not zero-filled,speed_variability_inverse_index:0.25|low_speed_clustering_inverse_index:0.2|stopped_clustering_inverse_index:0.2|late_stage_degradation_inverse_index:0.2|high_route_load_speed_maintenance_index:0.15,higher_is_better,input_pack/primary_window_evidence/route_load_context_windows_v1.csv,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
