activity_id_short,participant_id,activity_history_primary_label,activity_history_evidence_tier,personal_route_load_match_review_level,personal_route_load_match_review_flags,numeric_attribution_label_v0_5,suggested_report_case_role,numeric_attention_flag_count,movement_degradation_flag_count,route_load_behavior_flag_count,weather_behavior_overlap_flag_count,route_load_exposure_context_flag_count,numeric_attention_flags,numeric_attention_domains,speed_mps_median_median,low_speed_ratio_avg,stopped_ratio_avg,uphill_high_route_load_ratio,route_load_behavior_candidate_window_ratio,behavior_weather_context_review_required_ratio,hr_median_zone_sex_age_est,hr_output_efficiency_context,hr_median_pct_sex_age_est_hrmax,estimated_vo2max_ml_kg_min,qixing_difficulty_scale,tertiary_profile_context_signal,profile_context_consistency_with_activity_history,interpretation_boundary
16_1,16,ACTIVITY_HISTORY_SINGLE_FACTOR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,PERSONAL_ROUTE_LOAD_MATCH_SINGLE_FACTOR_ATTENTION,RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW,SINGLE_FACTOR_BEHAVIOR_NUMERIC_TRIGGER_CONFIRMED,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,1,1,0,0,0,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.60218,0.212015,0.076112,0.096386,0.493976,0.493976,ZONE3_70_80_PCT_HRMAX,LOWER_OR_MODERATE_HR_WITH_BEHAVIOR_DEGRADATION_PROXY_REVIEW,77.90938422535211,25.5,5.0,PROFILE_CONTEXT_REFERENCE_OR_MISSING,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
28_1,28,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,PERSONAL_ROUTE_LOAD_MATCH_SINGLE_FACTOR_ATTENTION,RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,1,1,0,0,0,NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75,movement_degradation,0.598755,0.260677,0.009183,0.083333,0.47619,0.47619,ZONE4_80_90_PCT_HRMAX,HIGH_HR_ZONE_WITH_BEHAVIOR_DEGRADATION_REVIEW,81.79723494623656,29.9,3.5,SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,PROFILE_CONTEXT_MIXED_OR_NOT_SUPPORTIVE,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
37_1,37,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,PERSONAL_ROUTE_LOAD_MATCH_SINGLE_FACTOR_ATTENTION,RELATIVE_HIGH_HR_CONTEXT_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,1,1,0,0,0,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.634813,0.225504,0.022764,0.1375,0.4625,0.4625,ZONE4_80_90_PCT_HRMAX,HIGH_HR_ZONE_WITH_BEHAVIOR_DEGRADATION_REVIEW,89.72261235955057,24.3,2.5,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,PROFILE_CONTEXT_MIXED,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
44_1,44,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,PERSONAL_ROUTE_LOAD_MATCH_SINGLE_FACTOR_ATTENTION,RELATIVE_HIGH_HR_CONTEXT_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,1,1,0,0,0,NUMERIC_HIGH_STOPPED_RATIO_GE_P75,movement_degradation,0.995302,0.144703,0.01661,0.125,0.275,0.275,ZONE4_80_90_PCT_HRMAX,HIGH_HR_ZONE_WITH_BEHAVIOR_DEGRADATION_REVIEW,85.33729123173278,36.1,2.0,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,PROFILE_CONTEXT_MIXED_OR_NOT_SUPPORTIVE,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
8_1,8,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,PRIMARY_ACTIVITY_HISTORY_REVIEW_NEEDS_NUMERIC_CHECK,PERSONAL_ROUTE_LOAD_MATCH_SINGLE_FACTOR_ATTENTION,RELATIVE_HIGH_HR_CONTEXT_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,1,1,0,0,0,NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75,movement_degradation,0.641725,0.237735,0.012961,0.107143,0.452381,0.452381,ZONE4_80_90_PCT_HRMAX,HIGH_HR_ZONE_WITH_BEHAVIOR_DEGRADATION_REVIEW,85.01181148825066,25.4,6.5,PROFILE_CONTEXT_REFERENCE_OR_MISSING,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,PERSONAL_ROUTE_LOAD_MATCH_MULTI_FACTOR_ATTENTION,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_UPHILL_LOAD_EXPOSURE_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,6,3,1,1,1,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75|NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75|NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75|NUMERIC_HIGH_STOPPED_RATIO_GE_P75|NUMERIC_HIGH_UPHILL_LOAD_EXPOSURE_GE_P75_CONTEXT_ONLY|NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation|route_load_behavior|route_load_exposure_context|weather_behavior_overlap,0.511706,0.319905,0.028583,0.154762,0.52381,0.52381,ZONE3_70_80_PCT_HRMAX,LOWER_OR_MODERATE_HR_WITH_MULTI_FACTOR_BEHAVIOR_DEGRADATION_REVIEW,76.25557475276324,24.4,5.5,LOWER_ESTIMATED_VO2MAX_CONTEXT,PROFILE_CONTEXT_CONSISTENT_BUT_TERTIARY_ONLY,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,PERSONAL_ROUTE_LOAD_MATCH_MULTI_FACTOR_ATTENTION,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,5,3,1,1,0,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75|NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75|NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75|NUMERIC_HIGH_STOPPED_RATIO_GE_P75|NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation|route_load_behavior|weather_behavior_overlap,0.497648,0.32626,0.030715,0.130952,0.547619,0.547619,ZONE4_80_90_PCT_HRMAX,HIGH_HR_ZONE_WITH_BEHAVIOR_DEGRADATION_REVIEW,85.27173741661612,24.0,5.0,LOWER_ESTIMATED_VO2MAX_CONTEXT,PROFILE_CONTEXT_CONSISTENT_BUT_TERTIARY_ONLY,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,PERSONAL_ROUTE_LOAD_MATCH_MULTI_FACTOR_ATTENTION,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,5,3,1,1,0,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75|NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75|NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75|NUMERIC_HIGH_STOPPED_RATIO_GE_P75|NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation|route_load_behavior|weather_behavior_overlap,0.450511,0.355164,0.037286,0.119048,0.559524,0.559524,ZONE3_70_80_PCT_HRMAX,LOWER_OR_MODERATE_HR_WITH_MULTI_FACTOR_BEHAVIOR_DEGRADATION_REVIEW,76.63601377245509,12.8,8.0,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,PROFILE_CONTEXT_CONSISTENT_BUT_TERTIARY_ONLY,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
48_1,48,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,PERSONAL_ROUTE_LOAD_MATCH_MULTI_FACTOR_ATTENTION,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,5,3,1,1,0,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75|NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75|NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75|NUMERIC_HIGH_STOPPED_RATIO_GE_P75|NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation|route_load_behavior|weather_behavior_overlap,0.452268,0.333654,0.046376,0.142857,0.535714,0.535714,ZONE2_60_70_PCT_HRMAX,LOWER_OR_MODERATE_HR_WITH_MULTI_FACTOR_BEHAVIOR_DEGRADATION_REVIEW,64.43623448275862,24.9,5.0,PROFILE_CONTEXT_REFERENCE_OR_MISSING,PROFILE_CONTEXT_REFERENCE_OR_MISSING,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
9_1,9,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,PRIMARY_ACTIVITY_HISTORY_CANDIDATE,PERSONAL_ROUTE_LOAD_MATCH_MODERATE_ATTENTION,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,4,2,1,1,0,NUMERIC_HIGH_BEHAVIOR_WEATHER_OVERLAP_GE_P75|NUMERIC_HIGH_LOW_SPEED_RATIO_GE_P75|NUMERIC_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_GE_P75|NUMERIC_SLOWER_SPEED_LE_P25,movement_degradation|route_load_behavior|weather_behavior_overlap,0.590467,0.25849,0.006544,0.111111,0.530864,0.530864,ZONE3_70_80_PCT_HRMAX,LOWER_OR_MODERATE_HR_WITH_BEHAVIOR_DEGRADATION_PROXY_REVIEW,76.67616358974358,36.9,8.0,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,PROFILE_CONTEXT_MIXED,"Descriptive CH6.5.5 v0.5 activity-history numeric attribution evidence only. It explains which observed activity-history metrics triggered candidate or review labels. It does not produce ability scores, ability ranks, ability classes, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
