profile_context_consistency_with_activity_history,tertiary_profile_context_signal,activity_count,activity_id_short_list,interpretation_boundary
PROFILE_CONTEXT_CONSISTENT_BUT_TERTIARY_ONLY,LOWER_ESTIMATED_VO2MAX_CONTEXT,3,38_1|42_1|46_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_CONSISTENT_BUT_TERTIARY_ONLY,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,1,43_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_MIXED,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_HIGH_DIFFICULTY_CONTEXT,1,9_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_MIXED,LOWER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,1,37_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_MIXED_OR_NOT_SUPPORTIVE,HIGHER_ESTIMATED_VO2MAX_CONTEXT,1,23_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_MIXED_OR_NOT_SUPPORTIVE,HIGHER_ESTIMATED_VO2MAX_CONTEXT|SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,1,44_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_MIXED_OR_NOT_SUPPORTIVE,SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,1,28_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_NOT_USED_FOR_PROMOTION,HIGHER_ESTIMATED_VO2MAX_CONTEXT,2,14_1|3_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_NOT_USED_FOR_PROMOTION,PROFILE_CONTEXT_REFERENCE_OR_MISSING,5,15_1|29_1|36_1|41_1|45_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
PROFILE_CONTEXT_NOT_USED_FOR_PROMOTION,SELF_REPORTED_LOW_DIFFICULTY_CONTEXT,1,40_1,"Descriptive CH6.5.5 v0.4 activity-history-primary context evidence only. Actual hiking activity history is treated as primary evidence. HR zone is secondary context. Non-standard estimated VO2max and subjective Qixing difficulty are tertiary supporting context only and never promote an activity into strain candidate by themselves. High HR alone is not strain. This is not an ability score, ability rank, ability class, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
