activity_id_short,study_population_status,in_radar_baseline,has_horizontal_300s_evidence,has_vertical_300s_evidence,has_both_horizontal_and_vertical_300s_evidence,horizontal_300s_valid_window_count,horizontal_300s_route_speed_p90_mps,vertical_300s_valid_window_count,vertical_300s_gain_p90_m,vertical_300s_vam_p90_mph,horizontal_hr_p90_pct_hrmax_at_speed_p90_window,vertical_hr_p90_pct_hrmax_at_vam_p90_window,profile_join_status,interpretation_boundary
6_1,EXTRA_SOURCE_ACTIVITY_NOT_IN_RADAR_BASELINE,False,False,False,False,0,,0,,,,,MISSING_PROFILE,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
13_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
14_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
15_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
16_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,RADAR_BASELINE_ACTIVITY,True,True,True,True,3,1.858,1,10.37,124.43999999999998,81.22646584185046,91.4470145239376,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,RADAR_BASELINE_ACTIVITY,True,True,False,False,2,1.855,0,,,83.15565031982942,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,0,,21,22.565999999999995,271.6976588628762,,92.90248124639352,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
