activity_id,prior_route_following_proxy_value,mainline_floor_applied,preliminary_after_mainline_floor,anchor_miss_soft_penalty,wrong_branch_penalty,active_off_route_penalty,gps_drift_refit_credit,post_finish_exclusion_credit,route_following_adjusted_proxy_value,post_finish_policy,gps_refit_policy,anchor_policy,wrong_branch_policy
13_1,83.17,88.0,88.0,0.0,0.0,0.0,0.0,0.5,88.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
14_1,28.0,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
15_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
16_1,21.1,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
20_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
23_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
28_1,34.2,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
29_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
30_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
33_1,90.35,88.0,90.35,0.0,0.0,0.0,0.0,0.5,90.85,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
