threshold_id,axis_id,feature_name,source_key,unit,direction,score_0,score_0_25,score_0_50,score_0_75,score_1,normalization_method,clip_policy,status,note
physical_distance_km_v1,physical_difficulty_score,route_distance_km,dist_m,km,higher_is_riskier,0.0,2.0,5.0,8.0,12.0,piecewise_linear,clip_0_1,draft,總距離固定門檻；不使用 batch min-max
physical_cum_gain_m_v1,physical_difficulty_score,cumulative_gain_m,cum_gain_m,m,higher_is_riskier,0.0,200.0,500.0,800.0,1200.0,piecewise_linear,clip_0_1,draft,累積爬升固定門檻；後續可依台灣郊山/中級山校正
physical_cum_loss_m_v1,physical_difficulty_score,cumulative_loss_m,cum_loss_m,m,higher_is_riskier,0.0,200.0,500.0,800.0,1200.0,piecewise_linear,clip_0_1,draft,累積下降固定門檻；長下坡對膝部與疲勞有影響
physical_steep_slope_ratio_v1,physical_difficulty_score,steep_slope_ratio,slope_pct,ratio,higher_is_riskier,0.0,0.1,0.25,0.4,0.6,piecewise_linear,clip_0_1,draft,陡坡比例；可定義為 slope_pct >= 20% 的路段比例
navigation_junction_density_v1,navigation_risk_score,junction_density_per_km,junction_density,count_per_km,higher_is_riskier,0.0,2.0,5.0,8.0,12.0,piecewise_linear,clip_0_1,draft,岔路密度固定門檻；需由 OSM graph / route-axis 特徵產生
navigation_return_gain_m_v1,navigation_risk_score,wrong_turn_return_gain_m,return_difficulty,m,higher_is_riskier,0.0,30.0,80.0,150.0,250.0,piecewise_linear,clip_0_1,draft,走錯後若需回爬大量高差，迷航後果較高
support_road_access_distance_km_v1,support_difficulty_score,road_access_distance_km,road_access_distance,km,higher_is_riskier,0.0,0.5,1.5,3.0,5.0,piecewise_linear,clip_0_1,draft,距離道路越遠，撤退與救援越困難
support_exit_point_gap_km_v1,support_difficulty_score,exit_point_gap_km,exit_point_gap,km,higher_is_riskier,0.0,1.0,3.0,5.0,8.0,piecewise_linear,clip_0_1,draft,撤退點間距越大，支援不易越高
weather_hydrology_crossing_count_v1,weather_impact_score,water_crossing_count,water_crossing,count,higher_is_riskier,0.0,1.0,2.0,3.0,5.0,piecewise_linear,clip_0_1,draft,涉水點或水文 crossing 數量；雨勢大時風險放大
weather_sensitive_surface_ratio_v1,weather_impact_score,weather_sensitive_surface_ratio,surface,ratio,higher_is_riskier,0.0,0.1,0.25,0.45,0.7,piecewise_linear,clip_0_1,draft,泥土路、濕滑石階等天候敏感路面比例
navigation_guidepost_deficit_ratio_v1,navigation_risk_score,guidepost_deficit_ratio,guidepost_deficit,ratio,higher_is_riskier,0.0,0.25,0.5,0.75,1.0,piecewise_linear,clip_0_1,draft,v1.1 新增；重要岔路或路線轉折附近缺乏 guidepost/marker/route sign 的比例越高，導航支援不足越明顯。
navigation_wrong_turn_recovery_road_access_km_v1,navigation_risk_score,wrong_turn_recovery_vehicle_road_access_km,wrong_turn_recovery_access,km,higher_is_riskier,0.0,0.3,0.8,1.5,3.0,piecewise_linear,clip_0_1,draft,v1.1 新增；錯入支線後距離 road/service/track/unclassified/residential 等可辨識且車輛較可達道路越遠，錯路後可恢復性越差。此不同於一般 support road access distance。
navigation_wrong_turn_return_distance_m_v1,navigation_risk_score,wrong_turn_return_distance_m,return_distance_m,m,higher_is_riskier,0.0,100.0,300.0,600.0,1000.0,piecewise_linear,clip_0_1,draft,v1.1 新增；走錯後需要回走或繞行較長距離才能接回主線時，迷航後果較高；可與 return_gain_m 合併為 wrong_turn_recovery_difficulty_score。
support_vehicle_accessible_branch_density_per_km_v1,support_difficulty_score,vehicle_accessible_branch_density_per_km,vehicle_accessible_branch_density,count/km,lower_is_riskier,2.0,1.0,0.5,0.2,0.0,piecewise_linear_inverse,clip_0_1,draft,v1.2 新增；路線周邊可接車輛可達道路之岔路密度越低，外部支援接近與撤退替代性越差。
support_long_route_without_exit_km_v1,support_difficulty_score,route_length_without_exit_km,long_route_without_exit,km,higher_is_riskier,0.0,2.0,5.0,8.0,12.0,piecewise_linear,clip_0_1,draft,v1.2 新增；連續路線距離越長且缺乏撤退點或替代出口，支援不易越高。
support_facility_distance_km_v1,support_difficulty_score,distance_to_nearest_support_facility_km,support_facility_distance,km,higher_is_riskier,0.0,0.5,1.5,3.0,5.0,piecewise_linear,clip_0_1,draft,v1.2 新增；距離山屋、避難處、遊客中心、警察站、管理站、補給點或休息設施越遠，等待支援與撤退集結越困難。
support_emergency_landing_site_distance_km_v1,support_difficulty_score,distance_to_nearest_emergency_landing_site_km,emergency_landing_site_distance,km,higher_is_riskier,0.0,1.0,3.0,5.0,10.0,piecewise_linear,clip_0_1,draft,v1.2 新增；距離直升機停機坪或臨時起降場越遠，空中救援與後送轉運越困難；實際可用性需複核。
support_hoist_open_area_distance_km_v1,support_difficulty_score,distance_to_nearest_large_open_area_km,hoist_open_area_distance,km,higher_is_riskier,0.0,0.5,1.5,3.0,5.0,piecewise_linear,clip_0_1,draft,v1.2 新增；距離可供吊掛、集結或臨時等待支援之大面積空曠地越遠，救援作業困難越高。
support_critical_link_dependency_ratio_v1,support_difficulty_score,critical_link_dependency_ratio,critical_link_bottleneck,ratio,higher_is_riskier,0.0,0.25,0.50,0.75,1.00,piecewise_linear,clip_0_1,draft,v1.2 新增；路線出入越依賴少數橋梁、吊橋、溪谷通道或單一 access corridor，支援與撤退韌性越低。
