case_group,activity_id_short,participant_id,png_file,plotted_axis_count,missing_axis_count,missing_axis_ids,missing_axis_labels_zh,terrain_movement_axis_index_0_100,mean_available_axis_index_0_100,radar_readiness_label_v1,activity_history_primary_label,numeric_attribution_label_v0_5,suggested_report_case_role,axis_admission_decision,interpretation_boundary
PRIMARY_CASE_CANDIDATE,43_1,43,report_safe_radar_activity_43_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,4.0,10.778,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
PRIMARY_CASE_CANDIDATE,42_1,42,report_safe_radar_activity_42_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,12.0,14.556,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
PRIMARY_CASE_CANDIDATE,48_1,48,report_safe_radar_activity_48_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,8.0,14.389,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
PRIMARY_CASE_CANDIDATE,46_1,46,report_safe_radar_activity_46_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,16.0,21.889,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
SECONDARY_CASE_CANDIDATE,9_1,9,report_safe_radar_activity_9_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,36.0,33.944,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
SECONDARY_CASE_CANDIDATE,38_1,38,report_safe_radar_activity_38_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,60.0,44.0,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
SECONDARY_CASE_CANDIDATE,23_1,23,report_safe_radar_activity_23_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,28.0,38.778,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
CONTRAST_HIGH_HR_CONTROLLED_CONTEXT,15_1,15,report_safe_radar_activity_15_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,96.0,79.0,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
CONTRAST_FAST_SINGLE_FACTOR_REVIEW,44_1,44,report_safe_radar_activity_44_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,52.0,68.0,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
CONTRAST_HIGH_HR_CONTROLLED_CONTEXT,45_1,45,report_safe_radar_activity_45_1_v1_terrain_axis.png,6,1,route_following_stability,路線跟隨穩定性,76.0,65.556,REPORT_SAFE_RADAR_WITH_REMAINING_MISSING_ROUTE_FOLLOWING_AXIS,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,ADMIT_TO_RADAR_V1_DESCRIPTIVE_SUPPORTED_AXIS_WITH_BOUNDARY,"Descriptive CH6.5.5 personal activity performance radar report-safe v1 terrain-axis preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. The terrain movement axis is admitted by CH6.5.6 axis admission audit v1.2 as descriptive terrain movement maintenance context only. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
