hazard_family_id,hazard_family_name_zh,hazard_family_name_en,weather_directness,primary_risk_mechanism,candidate_weather_variables,candidate_external_variables,current_ib3w_coverage,allowed_output_type,explicit_boundary,next_candidate_layer
heat_stress_context,熱壓力／酷曬／悶熱,Heat stress context,direct_weather_context,高溫高濕低風與日照造成熱負荷,"temperature_c|relative_humidity_pct|sunshine_duration_min|wind_speed_ms|uv_index","route_exposure|shade_context|user_activity_intensity",partial_inputs_only,proxy_context,"not medical diagnosis; no user-specific tolerance in v1",ib3w_heat_stress_context_v1
cold_wet_exposure_context,寒冷／濕冷／失溫條件,Cold and wet exposure context,direct_weather_context,低溫強風淋濕造成失溫傾向,"temperature_c|wind_speed_ms|wind_gust_ms|precipitation_mm|relative_humidity_pct","exposure_duration|clothing|fatigue",partial_inputs_only,proxy_context,"not hypothermia diagnosis",ib3w_cold_wet_exposure_context_v1
precipitation_surface_wetness_context,降雨／地表濕滑,Precipitation and surface wetness context,direct_and_secondary_context,降雨與乾燥能力共同影響地表濕滑可能,"precipitation_mm|precipitation_10min_mm|precipitation_1hr_mm|relative_humidity_pct|temperature_c|wind_speed_ms|sunshine_duration_min","terrain_surface|slope|shade|drainage",implemented_partial,proxy_context,"not true soil moisture; no missing-to-zero imputation",ib3w_weather_terrain_surface_join_v1
wind_exposure_context,強風／陣風／稜線暴露,Wind exposure context,direct_weather_context,強風造成失溫增強、平衡與裝備控制問題,"wind_speed_ms|wind_gust_ms|wind_direction_deg","ridge_context|summit_context|open_exposure",partial_inputs_only,proxy_context,"station wind may not represent local ridge gust",ib3w_wind_exposure_context_v1
visibility_navigation_context,霧／低雲／能見度低／導航劣化,Visibility and navigation degradation context,direct_weather_context,低能見度造成辨識路徑、岔路與方向判斷困難,"visibility_m|weather|relative_humidity_pct|temperature_c","junction_density|route_complexity|activity_deviation",not_implemented,proxy_context,"not actual lost event; requires behavior layer for迷航 confirmation",ib3w_visibility_navigation_context_v1
convective_storm_lightning_context,雷雨／雷擊／短延時強降雨,Convective storm and lightning context,direct_weather_and_warning_context,對流雷雨造成雷擊、短時強降雨與突發陣風,"weather|precipitation_10min_mm|precipitation_1hr_mm|wind_gust_ms","radar_echo|lightning_observation|weather_warning",not_implemented,proxy_or_warning_context,"lightning cannot be inferred reliably from rain alone",ib3w_convective_storm_context_v1
hydrologic_slope_response_context,溪水暴漲／邊坡滑落／土石流,Hydrologic and slope response context,secondary_environment_response,降雨觸發溪流水位上升、邊坡不穩與土石流,"precipitation_10min_mm|precipitation_1hr_mm|antecedent_precipitation","water_level|waterway|slope|geology|debris_flow_susceptibility",not_implemented,secondary_hazard_context,"not direct weather; missing water level is not safe zero",ib3w_hydrologic_slope_response_context_v1
weather_system_context,颱風／鋒面／東北季風／氣壓急變,Weather system context,synoptic_context,大尺度天氣系統造成連續雨、強風、濕冷或快速惡化,"pressure_hpa|wind_direction_deg|weather|precipitation_mm","weather_warning|forecast_product|synoptic_label",not_implemented,context_label,"single-station rows insufficient for full synoptic classification",ib3w_weather_system_context_v1
air_quality_context,空污／煙霾／呼吸負擔,Air quality context,non_weather_environment_context,空污或煙霾增加活動呼吸負擔,"visibility_m|weather","AQI|PM2.5|PM10|O3|smoke_haze",not_implemented,proxy_context,"not purely weather; requires external air-quality data",ib3w_air_quality_context_v1
non_weather_geohazard_context,地震／落石／崩塌／步道封閉,Non-weather geohazard context,non_weather_hazard,地震或地質事件造成邊坡鬆動、落石與通行中斷,"none","earthquake_event|intensity_map|landslide_inventory|trail_closure",out_of_ib3w_weather_db_scope,external_hazard_context,"earthquake is not meteorological and cannot be derived from weather DB",ibx_geohazard_context_v1
