layer_name,feature_group,feature_subtype,tier,include_in_lite_preview,include_in_expanded_preview,include_in_formal_v1l_candidate,is_atomic_layer,is_umbrella_layer,duplicate_risk,duplicate_with_layers,geometry_type,feature_count_main_peak,feature_count_lengshuikeng_xiaoyoukeng,main_osm_tags,proximity_use,dwell_pause_use,route_choice_use,terrain_risk_use,emergency_support_use,suggested_interaction_type,suggested_proximity_radius_m,suggested_dwell_radius_m,suggested_priority,radar_axis_primary,radar_axis_secondary,radar_evidence_type,risk_direction,risk_weight_hint,risk_interpretation_note
highway,route_geometry,trail_road_steps,core,true,true,true,true,false,medium,"handrail;trailhead;milestone","LineString",250,372,"highway;highway_norm;route_role;surface;sac_scale;incline;trail_visibility;bridge;ford",true,false,true,true,false,ROUTE_SEGMENT_INTERACTION,15,0,high,physical_fitness,"technical_difficulty;navigation",route_geometry_and_effort_context,contextual,high,"Tag-driven evidence: steps and steep or difficult surfaces can increase effort and technical load; candidate topology supports navigation context."
waterway,water_hydrology,stream_ditch_river,expanded,false,true,true,true,false,low,,LineString,69,88,"waterway=stream|ditch|river|drain|weir;name",true,false,false,true,false,HYDROLOGY_PROXIMITY,25,0,medium,base_hazard,weather_sensitivity,hydrology_weather_exposure,increase,medium,"Proximity can indicate wet terrain, drainage concentration, crossing difficulty, or rain sensitivity; proximity alone is not a crossing."
water_area,water_hydrology,pond_lake_reservoir,expanded,false,true,true,true,false,low,,Polygon,5,7,"natural=water;water=pond|lake|reservoir;name",true,false,false,true,false,WATER_AREA_PROXIMITY,30,0,medium,base_hazard,weather_sensitivity,standing_water_weather_context,increase,medium,"Nearby standing water provides environmental and weather-sensitivity evidence, not drinking-water support."
wetland,water_hydrology,wet_terrain,expanded,false,true,true,true,false,low,,Polygon,2,2,"natural=wetland;name",true,false,false,true,false,WET_TERRAIN_PROXIMITY,25,0,medium,weather_sensitivity,base_hazard,wet_ground_weather_sensitivity,increase,medium,"Wetland proximity can indicate slippery or waterlogged terrain, especially under rain."
cliff,terrain_technical_risk,cliff_edge,core,true,true,true,true,false,low,,LineString,7,9,"natural=cliff;name",true,false,false,true,false,CLIFF_PROXIMITY,25,0,high,base_hazard,"technical_difficulty;weather_sensitivity",cliff_exposure,increase,high,"Cliff proximity raises environmental hazard and can amplify technical and wind-fog exposure."
scree,terrain_technical_risk,loose_scree,core,true,true,true,true,false,low,,Polygon|MultiPolygon,7,7,"natural=scree",true,false,false,true,false,SCREE_EXPOSURE,20,0,high,technical_difficulty,"base_hazard;weather_sensitivity",loose_surface_exposure,increase,high,"Scree proximity can explain reduced speed, unstable footing, and rain sensitivity."
bare_rock,terrain_technical_risk,bare_rock,future,false,true,false,true,false,low,,Unknown,0,0,"natural=bare_rock",true,false,false,true,false,BARE_ROCK_EXPOSURE,20,0,medium,technical_difficulty,"base_hazard;weather_sensitivity",bare_rock_exposure,increase,medium,"Future-supported layer; useful for exposed, slippery, or wind-sensitive terrain when populated."
landslide,terrain_technical_risk,landslide,future,false,true,false,true,false,low,,Unknown,0,0,"natural=landslide;landslide=yes",true,false,false,true,false,LANDSLIDE_PROXIMITY,40,0,high,base_hazard,"technical_difficulty;weather_sensitivity",landslide_hazard,increase,high,"Future-supported hazard layer; should remain evidence-only until feature quality is reviewed."
safety_rope,terrain_technical_risk,safety_rope,future,false,true,false,true,false,low,,Unknown,0,0,"safety_rope;assisted_trail",true,false,false,true,false,SAFETY_ROPE_PROXIMITY,12,0,high,technical_difficulty,base_hazard,technical_assistance_required,increase,high,"Presence implies a technically assisted section; zero-count but retained for future routes."
assisted_trail,terrain_technical_risk,assisted_trail,future,false,true,false,true,false,low,,Unknown,0,0,"assisted_trail=yes",true,false,false,true,false,ASSISTED_TRAIL_PROXIMITY,12,0,high,technical_difficulty,base_hazard,assisted_trail_evidence,increase,high,"Future-supported technical feature."
