gate_id,gate_status,gate_name,observed_value,required_value,notes
G01,PASS,CH6.5.6 audit conclusion is PASS,PASS_CH6_5_6_TERRAIN_MOVEMENT_EFFICIENCY_EVIDENCE_V1_DESCRIPTIVE_ONLY,PASS_CH6_5_6_TERRAIN_MOVEMENT_EFFICIENCY_EVIDENCE_V1_DESCRIPTIVE_ONLY,Evidence layer must pass before radar admission.
G02,PASS,No zero-fill used,zero_fill_used=False; weather_zero_fill_used=False,Both False,"Missing evidence must not become zero, no-rain, normal, calm, or safe evidence."
G03,PASS,No forbidden scoring / decision output,ability_score_generated=False; ability_rank_generated=False; ability_class_generated=False; route_suitability_score_generated=False; go_no_go_generated=False,All False,"Admission does not authorize scoring, ranking, suitability, or go/no-go output."
G04,PASS,Audit issues are none,NONE,NONE,Any audit issue must be resolved before admission.
G05,PASS,Expected activity coverage,activity_rows=25; axis_update_rows=25,25 activity rows and 25 axis rows,Radar axis should cover the current full25 activity set.
G06,PASS,All rows have supported terrain movement evidence,supported=25; limited=0; insufficient=0,supported=25; limited=0; insufficient=0,This admits the axis as supported for the current activity set.
G07,PASS,Context groups meet minimum window threshold,context_group_count=3; min_window_count=39.0,Each context group >= 20 windows,"Small groups remain caution notes, but are acceptable if above threshold."
G08,PASS,Axis index has useful variation,unique_n=25; min=4.0; max=100.0,>=5 unique values within 0-100,Radar axis should not be flat or out of range.
G09,PASS,Lower/reference/higher labels all appear,HIGHER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT|LOWER_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT_REVIEW|REFERENCE_TERRAIN_MOVEMENT_MAINTENANCE_CONTEXT,"Contains lower, reference, and higher context labels",Labels support interpretation; they are not ability classes.
G10,PASS,Upstream provenance is documented,input_found=True; route_window_found=True,full25 input and route-window evidence documented,"v1.2 checks run report, CURRENT_INDEX, README, and CH6.5.6 source inventory."
G11,PASS,Upstream route/terrain/map-derived factors are documented,route_terrain_factor_docs=True,"vertical range, slope, IB2 effort, IB2 terrain, near-steps","Axis must be grounded in terrain/surface context, not only speed."
G12,PASS,Weather boundary is documented,weather_boundary_docs=True,"weather descriptive only, not included in index, no zero-fill",Weather context cannot be hidden route-load or ability evidence.
G13,PASS,Upstream non-score boundary is documented,upstream_boundary_docs=True,descriptive and not score/rank/final risk,The radar admission inherits the same non-scoring boundary.
