mapping_id,source_domain,source_layer,source_key,source_value,normalized_class,primary_axis,secondary_axis,effect_direction,base_weight,base_score,confidence,aggregation_hint,double_count_guard,review_status,version,note
route_profile_distance_physical_v1,route_profile,distance,dist_m,*,route_distance,physical_difficulty_score,,increase,0.35,0.5,high,normalized_total,距離只進體力難度，不直接進迷航風險或支援不易,draft_accepted,v1.0,總距離越長，體力負荷越高；正式分數應由固定 threshold 正規化
route_profile_cum_gain_physical_v1,route_profile,elevation,cum_gain_m,*,cumulative_gain,physical_difficulty_score,,increase,0.35,0.6,high,normalized_total,累積爬升只進體力難度；若為技術性陡坡另由 technical feature 表示,draft_accepted,v1.0,累積爬升是體力難度核心因子
route_profile_steep_slope_physical_v1,route_profile,slope,slope_pct,steep_or_above,steep_slope_load,physical_difficulty_score,technical_difficulty_score,increase,0.2,0.65,medium,p95|length_ratio,坡度作為體力負荷；若涉及踩點或通過困難才少量進技術難度,draft_accepted,v1.0,長陡坡比例與 p95 坡度可作為體力負荷指標
osm_highway_steps_technical_v1,osm,highway,highway,steps,stairs,technical_difficulty_score,physical_difficulty_score,increase,0.6,0.55,high,length_weighted_mean|presence,階梯本身進技術難度；長段連續爬升階梯才增加體力難度,draft_accepted,v1.0,階梯增加步伐控制與膝負荷，但不等於高危害
osm_surface_unpaved_technical_v1,osm,surface,surface,ground|dirt|earth|gravel|unpaved,unpaved_surface,technical_difficulty_score,weather_impact_score,increase,0.45,0.45,medium,length_weighted_mean,未鋪面平時進技術難度；雨後放大效果由天候影響處理,draft_accepted,v1.0,未鋪面路徑增加踩踏與通過不確定性
osm_sac_scale_technical_v1,osm,sac_scale,sac_scale,*,mountain_trail_difficulty,technical_difficulty_score,baseline_hazard_score,increase,0.7,0.65,medium,max|p95,sac_scale 主要代表技術通過要求；若明確涉及暴露或危險才進基礎危害,draft_accepted,v1.0,依 OSM 完整性需後續 QA
osm_natural_cliff_hazard_v1,osm,natural,natural,cliff,cliff_exposure,baseline_hazard_score,weather_impact_score,increase,0.9,0.9,high,max|length_ratio,崖邊固有危害進基礎危害；強風雨霧放大另進天候影響,draft_accepted,v1.0,滑落後果嚴重，屬高固有危害
terrain_landslide_hazard_v1,terrain,geology,landslide_or_debris_flow,*,landslide_debris_flow_potential,baseline_hazard_score,weather_impact_score,increase,0.85,0.85,medium,max|presence,土石流或崩塌潛勢是基礎危害；豪雨觸發效果由天候影響放大,draft_accepted,v1.0,需接地質或土石流潛勢資料來源
terrain_dip_slope_hazard_v1,terrain,geology,dip_slope,*,dip_slope_instability,baseline_hazard_score,weather_impact_score,increase,0.8,0.8,medium,presence|max,順向坡本身為地質固有危害；雨後滑動放大歸天候影響,draft_accepted,v1.0,需後續確認是否有可用地質資料圖層
osm_trail_visibility_navigation_v1,osm,trail_visibility,trail_visibility,bad|horrible|no,poor_path_visibility,navigation_risk_score,technical_difficulty_score,increase,0.75,0.75,medium,length_weighted_mean|max,路徑可視度差主要進迷航風險；若造成踩踏困難才少量進技術難度,draft_accepted,v1.0,OSM trail_visibility 完整性需 QA
route_junction_density_navigation_v1,route_profile,network,junction_density,*,route_choice_complexity,navigation_risk_score,,increase,0.65,0.6,medium,normalized_density,岔路密度只代表路徑選擇複雜度，不直接代表體力或技術難度,draft_accepted,v1.0,需後續由 route-axis 或 OSM graph 特徵產生
terrain_return_difficulty_navigation_v1,terrain,terrain_context,return_difficulty,*,wrong_turn_return_difficulty,navigation_risk_score,support_difficulty_score,increase,0.8,0.8,medium,max|presence,走錯後高低差大或無路可接回主要進迷航風險；救援撤退困難可少量進支援不易,draft_accepted,v1.0,描述走錯路後回到正確路線的困難度
osm_shelter_support_decrease_v1,osm,amenity|tourism,shelter,*,shelter_available,support_difficulty_score,,decrease,0.5,-0.4,medium,presence|nearest_distance,shelter 是支援項，會降低支援不易，不應增加風險,draft_accepted,v1.0,支援越多，support difficulty 越低
support_road_access_difficulty_v1,support,access,road_access_distance,*,poor_road_access,support_difficulty_score,,increase,0.75,0.75,medium,normalized_distance|max,道路接近性差只進支援不易，不直接進體力難度,draft_accepted,v1.0,撤退與救援介入困難核心因子
support_gps_signal_blocked_v1,support,positioning,gps_blockage_or_drift,*,positioning_difficulty,support_difficulty_score,navigation_risk_score,increase,0.6,0.65,low,presence|terrain_proxy,GPS 遮蔽主要影響定位與求援；若造成路徑判斷錯誤才進迷航風險,needs_review,v1.0,目前可能需由峽谷、林蔭或實測軌跡飄移 proxy 推估
surface_mud_weather_impact_v1,osm,surface,surface,mud|ground|earth|dirt,weather_sensitive_slippery_surface,weather_impact_score,technical_difficulty_score,increase,0.7,0.7,medium,length_weighted_mean,泥土路平時是技術難度；雨後濕滑放大才進天候影響,draft_accepted,v1.0,描述路線對雨後濕滑的敏感度，不代表當日是否下雨
hydrology_crossing_weather_impact_v1,hydrology,waterway|crossing,water_crossing,*,water_crossing_weather_sensitive,weather_impact_score,baseline_hazard_score,increase,0.85,0.85,medium,max|presence,涉水點平時可為技術或基礎危害；雨勢過大時風險放大歸天候影響,draft_accepted,v1.0,山區橋梁、涉水點、水文周邊遇豪雨時風險升高
ridge_exposure_weather_impact_v1,terrain,exposure,exposed_ridge,*,wind_fog_exposed_ridge,weather_impact_score,baseline_hazard_score,increase,0.75,0.75,medium,length_ratio|max,裸露稜線固有危害歸基礎危害；強風、低能見度與失溫放大歸天候影響,draft_accepted,v1.0,天候影響描述天氣惡化時的放大效果
terrain_upslope_source_hazard_v1_1,terrain,upslope_proxy,upslope_contributing_hazard_score,high_or_above,upslope_source_hazard,baseline_hazard_score,weather_impact_score,increase,0.85,0.85,medium,max|presence|length_ratio,避免與 landslide/debris_flow/cliff 等基礎危害重複計分；此項作為上方坡面來源區 proxy 之路段級補強證據，雨後放大另由 weather_impact 處理,draft_added,v1.1,v1.1 新增；上方坡面落石或土石崩落來源區 proxy，屬基礎危害軸向之細部證據。來源可包含坡面高差、下落坡降比、來源密度、影響步道長度與 NLSC/地形圖資；屬 review evidence，不代表正式落石、崩塌或土石流潛勢判定。
terrain_rainwash_sensitivity_weather_v1_1,terrain,upslope_proxy,rainwash_or_convergence_sensitivity,high_or_above,rainwash_sensitive_upslope_hazard,weather_impact_score,baseline_hazard_score,increase,0.75,0.75,medium,max|presence|length_ratio|rainfall_context,避免與 baseline_hazard 重複計分；此項主要描述雨後放大敏感性，需搭配近 1h/3h/24h/72h 雨量、高濕時數、水系或凹谷條件共同判讀,draft_added,v1.1,v1.1 新增；雨水匯流或沖刷敏感區，主要支援天候影響軸向，表示降雨條件下可能放大既有坡面、溪谷或上方來源區風險。此為情境化修正證據，不等同正式災害潛勢判定。
network_junction_density_high_navigation_v1_2,route_profile,network,junction_density,high_or_above,junction_density_high,navigation_risk_score,,increase,0.65,0.7,medium,normalized_density|max,岔路密度只代表路線選擇複雜度；不直接代表體力、技術或支援不易。若支線同時影響撤退路徑，應另由 recovery/access 特徵處理。,draft_added,v1.2,v1.2 新增；山區岔路多、支線多或路網交錯時，增加走錯路線機率。可由 OSM graph、路線距離軸周邊岔路數或支線密度產生。
osm_guidepost_deficit_navigation_v1_2,osm,guidepost_marker,guidepost_deficit,high_or_above,guidepost_deficit,navigation_risk_score,,increase,0.6,0.65,medium,presence|junction_weighted|density_gap,指標缺乏主要進迷航風險；若同時代表管理或支援設施不足，不應重複作為支援不易主因。,draft_added,v1.2,v1.2 新增；重要岔路或路線轉折處缺乏 guidepost、marker、route sign 或路條時，會降低路線辨識與錯路修正能力。
network_wrong_turn_recovery_access_navigation_v1_2,route_profile,road_access_graph,wrong_turn_recovery_access,poor_or_none,poor_wrong_turn_recovery_access,navigation_risk_score,support_difficulty_score,increase,0.8,0.85,medium,max|presence|distance_to_vehicle_accessible_road|return_distance|return_gain,此項描述錯路後可恢復性，主要進迷航風險；若同時影響撤退或救援，僅少量連結支援不易，避免與 support_road_access_distance 重複計分。,draft_added,v1.2,v1.2 新增；錯入支線後若無法快速接回主線，且周邊缺乏 road/service/track/unclassified/residential 等車輛可達道路，迷航後果與自行修正難度提高。
support_vehicle_access_branch_deficit_v1_3,route_profile,access_graph,vehicle_accessible_branch_density,low_or_none,poor_vehicle_access_branch,support_difficulty_score,navigation_risk_score,increase,0.75,0.80,medium,normalized_density|nearest_distance,支援不易語意為外部救援或撤退能否接近；迷航風險語意為錯路後自行恢復。兩者不可用同一距離特徵完整重複加分。,draft_added,v1.3,v1.3 新增；附近缺乏可通往 road/service/track/unclassified/residential 等車輛可達道路之岔路或撤退路徑，會提高外部支援接近與撤退替代性困難。
support_long_route_without_exit_v1_3,route_profile,access_graph,long_route_without_exit,high_or_above,long_route_without_exit,support_difficulty_score,physical_difficulty_score,increase,0.70,0.75,medium,normalized_length|exit_point_gap,長距離無出口主要進支援不易；若同時造成體力負荷，僅以 route distance / elevation 在體力難度處理，避免重複。,draft_added,v1.3,v1.3 新增；路線距離長且中途缺乏撤退點或替代出口，會提高事故後撤退與外部支援接近困難。
support_facility_deficit_v1_3,osm,support_facilities,support_facility_density,low_or_none,support_facility_deficit,support_difficulty_score,,increase,0.65,0.70,medium,facility_density|nearest_distance|inverse_presence,此項為支援設施缺乏之彙整語意；若個別設施 already mapped as decrease feature，實作時應使用 facility deficit 子分數，避免先加缺乏再逐項扣分造成雙重計算。,draft_added,v1.3,v1.3 新增；缺乏山屋、避難處、遊客中心、警察站、管理站、補給點、休息設施或緊急支援設施時，支援與等待救援條件較差。
osm_visitor_center_support_decrease_v1_3,osm,tourism|information,tourism|information|name,information|office|visitor_center,visitor_center_available,support_difficulty_score,,decrease,0.35,-0.30,medium,presence|nearest_distance|opening_hours_context,遊客中心只降低支援不易，不降低路線本身危害；夜間或休館時降低效果需折減。,draft_added,v1.3,v1.3 新增；遊客中心或旅遊服務中心可作為通報、資訊確認、撤退集結或等待支援節點。
osm_police_station_support_decrease_v1_3,osm,amenity|office,amenity|office|name,police|government|police_station,police_station_available,support_difficulty_score,,decrease,0.50,-0.45,medium,presence|nearest_distance|accessibility_context,警察站或小隊只降低支援不易；是否可用需搭配實際值勤、距離與道路可達性。,draft_added,v1.3,v1.3 新增；警察站、派出所或山區小隊可作為緊急通報、撤退協調與救援支援節點。
osm_ranger_management_station_support_decrease_v1_3,osm,tourism|information|office,tourism|information|office|name,information|office|government|management_station,ranger_or_management_station_available,support_difficulty_score,,decrease,0.45,-0.40,medium,presence|nearest_distance|opening_hours_context,管理站只降低支援不易，不表示該路段風險較低；需考慮服務時間與實際可達性。,draft_added,v1.3,v1.3 新增；國家公園管理站、管理小隊或山域管理據點可提供通報、管理、撤退與救援協調脈絡。
rescue_emergency_landing_site_decrease_v1_3,osm,emergency,emergency,landing_site,emergency_landing_site_available,support_difficulty_score,,decrease,0.55,-0.50,medium,presence|nearest_distance|terrain_weather_review,臨時起降場只降低救援作業困難，不降低基礎危害；是否可用需依天候、海拔、地形、空域、法規與救援規範複核。,draft_added,v1.3,v1.3 新增；emergency=landing_site 表示臨時起降場或緊急起降點，可降低空中救援、後送或吊掛轉運困難度。
