activity_id_short,participant_id,axis_id,axis_label_zh,missing_reason,interpretation_boundary
43_1,43,terrain_movement_efficiency,地形移動效率,Requires terrain/surface x movement-efficiency join; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
43_1,43,route_following_stability,路線跟隨穩定性,Requires formal on-route / wrong-branch / deviation-recovery evidence; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,terrain_movement_efficiency,地形移動效率,Requires terrain/surface x movement-efficiency join; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
42_1,42,route_following_stability,路線跟隨穩定性,Requires formal on-route / wrong-branch / deviation-recovery evidence; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
48_1,48,terrain_movement_efficiency,地形移動效率,Requires terrain/surface x movement-efficiency join; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
48_1,48,route_following_stability,路線跟隨穩定性,Requires formal on-route / wrong-branch / deviation-recovery evidence; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,terrain_movement_efficiency,地形移動效率,Requires terrain/surface x movement-efficiency join; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
46_1,46,route_following_stability,路線跟隨穩定性,Requires formal on-route / wrong-branch / deviation-recovery evidence; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
9_1,9,terrain_movement_efficiency,地形移動效率,Requires terrain/surface x movement-efficiency join; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
9_1,9,route_following_stability,路線跟隨穩定性,Requires formal on-route / wrong-branch / deviation-recovery evidence; not scored in v0.,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
