relative_path,name,type,depth,role,stage_or_scope,formal_status,used_by_current_pipeline,current_pipeline_blocker,reason,recommended_action
.DS_Store,.DS_Store,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
.python-version,.python-version,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
activity_input,activity_input,dir,1,FORMAL_INPUT,activity source,current,yes,no,listed formal/reference root,keep as current evidence/root
cache,cache,dir,1,CACHE,local cache,ignore_for_pipeline,no,no,special known root,do not use as current formal input
config,config,dir,1,REFERENCE_CONFIG,single-root legacy/reference config; includes nlsc_tile_activity_mapping.csv,document_in_index,reference,no,special known root,document in CURRENT_INDEX
configs,configs,dir,1,CONFIG,route definitions and semantic risk mapping,current,yes,no,listed formal/reference root,keep as current evidence/root
CURRENT_INDEX.md,CURRENT_INDEX.md,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
folder_inventory_depth4.csv,folder_inventory_depth4.csv,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
folder_prompt.txt,folder_prompt.txt,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
folder_role_audit_depth4.csv,folder_role_audit_depth4.csv,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
nlsc_raw,nlsc_raw,dir,1,FORMAL_INPUT,NLSC contour source for IB1G/IB1E/IB2D,current,yes,no,listed formal/reference root,keep as current evidence/root
osm_raw_output,osm_raw_output,dir,1,FORMAL_OUTPUT,IA1 OSM raw output,current,yes,no,listed formal/reference root,keep as current evidence/root
osm_raw_output_v1_1,osm_raw_output_v1_1,dir,1,LEGACY,older IA1 raw output,do_not_use_current,no,no,special known root,do not use as current formal input
outputs,outputs,dir,1,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
runs,runs,dir,1,FREEZE_OR_HISTORY,"handoff, changelog, freeze snapshots",mixed,reference,no,listed formal/reference root,review manually
scripts,scripts,dir,1,SOURCE,pipeline scripts,current,yes,no,listed formal/reference root,keep as current evidence/root
tmp_qixing_manual_filter_notes_v2.txt,tmp_qixing_manual_filter_notes_v2.txt,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
weather,weather,dir,1,FUTURE_LAYER,observed weather source; not integrated at IB2D,future_ib3_activity_layer,reference,no,special known root,document in CURRENT_INDEX
七星山上山,七星山上山,dir,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
架構prompt.txt,架構prompt.txt,file,1,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
activity_input/activity_column_schema_groups.csv,activity_column_schema_groups.csv,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/activity_file_inventory_excluded.csv,activity_file_inventory_excluded.csv,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/activity_file_inventory_valid.csv,activity_file_inventory_valid.csv,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/activity_subject_pairing_summary.csv,activity_subject_pairing_summary.csv,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/activity_subject_pairing_summary_v2.csv,activity_subject_pairing_summary_v2.csv,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/csv,csv,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/fit,fit,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/gpx,gpx,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
activity_input/manifests,manifests,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
cache/01d4d0f05d4341e3687d71572ae5a952d1c1ef4f.json,01d4d0f05d4341e3687d71572ae5a952d1c1ef4f.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/03943dbfdd5e5ef170249a8fc2209b3dff5ef535.json,03943dbfdd5e5ef170249a8fc2209b3dff5ef535.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/0cefa506849d1bd5126db01bbc7a3b2a4902ef66.json,0cefa506849d1bd5126db01bbc7a3b2a4902ef66.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/14e682ba2153d59e225c9b6f453a821b81ff3e54.json,14e682ba2153d59e225c9b6f453a821b81ff3e54.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/1a87b8160b8b57dd8fb18877b937fc6c81b253c1.json,1a87b8160b8b57dd8fb18877b937fc6c81b253c1.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/20443632da127bfc630357ac6cef3689f9ddf6fe.json,20443632da127bfc630357ac6cef3689f9ddf6fe.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/24cbf559a32117f5b662c2ec7c11ef3c230f2a1f.json,24cbf559a32117f5b662c2ec7c11ef3c230f2a1f.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/284a243465c046222c3ed9447846b8aaf50a7eff.json,284a243465c046222c3ed9447846b8aaf50a7eff.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/2d993d7df0f31753005208b88bf21492c9645889.json,2d993d7df0f31753005208b88bf21492c9645889.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/3c2a80a21eb5d3f29399c6a095d12d119b95cc53.json,3c2a80a21eb5d3f29399c6a095d12d119b95cc53.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/3fbbff6cd4cb5ee47d45e3d11657fa7a3c247009.json,3fbbff6cd4cb5ee47d45e3d11657fa7a3c247009.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/41421dc5f44dc004c7ea07135d0719be6c063a41.json,41421dc5f44dc004c7ea07135d0719be6c063a41.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/41f4d8f7a9144a50c398ed83d62701cb25fa6828.json,41f4d8f7a9144a50c398ed83d62701cb25fa6828.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/4255554e093dcb5314a16f602e4140d402a61a9a.json,4255554e093dcb5314a16f602e4140d402a61a9a.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/474eee83e8778fe803fe1e0127e35f5e1dc18769.json,474eee83e8778fe803fe1e0127e35f5e1dc18769.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/4bec52d9843fb03ad6177030ac207e05b57023af.json,4bec52d9843fb03ad6177030ac207e05b57023af.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/51643be7f92ae74657cc5e253b86f1801adcf6f4.json,51643be7f92ae74657cc5e253b86f1801adcf6f4.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
