case_group,activity_id_short,participant_id,png_file,plotted_axis_count,missing_axis_count,missing_axis_ids,missing_axis_labels_zh,mean_available_axis_index_0_100,radar_readiness_label,activity_history_primary_label,numeric_attribution_label_v0_5,suggested_report_case_role,interpretation_boundary
PRIMARY_CASE_CANDIDATE,43_1,43,report_safe_radar_activity_43_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,12.133,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
PRIMARY_CASE_CANDIDATE,42_1,42,report_safe_radar_activity_42_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,15.067,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
PRIMARY_CASE_CANDIDATE,48_1,48,report_safe_radar_activity_48_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,15.667,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
PRIMARY_CASE_CANDIDATE,46_1,46,report_safe_radar_activity_46_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,23.067,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MULTI_FACTOR_STRAIN_CANDIDATE,MULTI_FACTOR_NUMERIC_ATTRIBUTION_STRONG,REPORT_PRIMARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
SECONDARY_CASE_CANDIDATE,9_1,9,report_safe_radar_activity_9_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,33.533,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
SECONDARY_CASE_CANDIDATE,38_1,38,report_safe_radar_activity_38_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,40.8,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
SECONDARY_CASE_CANDIDATE,23_1,23,report_safe_radar_activity_23_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,40.933,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_MODERATE_STRAIN_CANDIDATE,MODERATE_NUMERIC_ATTRIBUTION_SUPPORTED,REPORT_SECONDARY_CASE_CANDIDATE,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
CONTRAST_HIGH_HR_CONTROLLED_CONTEXT,15_1,15,report_safe_radar_activity_15_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,75.6,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
CONTRAST_FAST_SINGLE_FACTOR_REVIEW,44_1,44,report_safe_radar_activity_44_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,71.2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
CONTRAST_HIGH_HR_CONTROLLED_CONTEXT,45_1,45,report_safe_radar_activity_45_1_v0_3.png,5,2,terrain_movement_efficiency|route_following_stability,地形移動效率|路線跟隨穩定性,63.467,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar report-safe preview only. Only evidence-available axes are plotted. Missing axes are listed separately and are not zero-filled. Values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence."
