"threshold_id","axis_id","feature_name","source_key","unit","direction","score_0","score_0_25","score_0_50","score_0_75","score_1","normalization_method","clip_policy","status","note"
"physical_distance_km_v1","physical_difficulty_score","route_distance_km","dist_m","km","higher_is_riskier","0","2","5","8","12","piecewise_linear","clip_0_1","draft","總距離固定門檻；不使用 batch min-max"
"physical_cum_gain_m_v1","physical_difficulty_score","cumulative_gain_m","cum_gain_m","m","higher_is_riskier","0","200","500","800","1200","piecewise_linear","clip_0_1","draft","累積爬升固定門檻；後續可依台灣郊山/中級山校正"
"physical_cum_loss_m_v1","physical_difficulty_score","cumulative_loss_m","cum_loss_m","m","higher_is_riskier","0","200","500","800","1200","piecewise_linear","clip_0_1","draft","累積下降固定門檻；長下坡對膝部與疲勞有影響"
"physical_steep_slope_ratio_v1","physical_difficulty_score","steep_slope_ratio","slope_pct","ratio","higher_is_riskier","0","0.10","0.25","0.40","0.60","piecewise_linear","clip_0_1","draft","陡坡比例；可定義為 slope_pct >= 20% 的路段比例"
"navigation_junction_density_v1","navigation_risk_score","junction_density_per_km","junction_density","count_per_km","higher_is_riskier","0","2","5","8","12","piecewise_linear","clip_0_1","draft","岔路密度固定門檻；需由 OSM graph / route-axis 特徵產生"
"navigation_return_gain_m_v1","navigation_risk_score","wrong_turn_return_gain_m","return_difficulty","m","higher_is_riskier","0","30","80","150","250","piecewise_linear","clip_0_1","draft","走錯後若需回爬大量高差，迷航後果較高"
"support_road_access_distance_km_v1","support_difficulty_score","road_access_distance_km","road_access_distance","km","higher_is_riskier","0","0.5","1.5","3","5","piecewise_linear","clip_0_1","draft","距離道路越遠，撤退與救援越困難"
"support_exit_point_gap_km_v1","support_difficulty_score","exit_point_gap_km","exit_point_gap","km","higher_is_riskier","0","1","3","5","8","piecewise_linear","clip_0_1","draft","撤退點間距越大，支援不易越高"
"weather_hydrology_crossing_count_v1","weather_impact_score","water_crossing_count","water_crossing","count","higher_is_riskier","0","1","2","3","5","piecewise_linear","clip_0_1","draft","涉水點或水文 crossing 數量；雨勢大時風險放大"
"weather_sensitive_surface_ratio_v1","weather_impact_score","weather_sensitive_surface_ratio","surface","ratio","higher_is_riskier","0","0.10","0.25","0.45","0.70","piecewise_linear","clip_0_1","draft","泥土路、濕滑石階等天候敏感路面比例"
